Gene name	Mouse gene name	Mouse homology type	dN with Mouse	dS with Mouse	Mouse orthology confidence [0 low, 1 high]
AC012078.1					
NDUFB10	Ndufb10	ortholog_one2one	0.1032	1.4338	1
ZNF623	Zfp623	ortholog_one2one	0.1067	0.8311	1
AC009159.4					
CEACAMP11					
AC087627.1					
FANCC	Fancc	ortholog_one2one	0.2214	0.4566	1
GPR119	Gpr119	ortholog_one2one	0.111	0.4237	1
AC087672.2					
AC087672.1					
RBMY1B	Gm21708	ortholog_many2many			0
RBMY1B	Gm10256	ortholog_many2many			0
RBMY1B	Gm10352	ortholog_many2many			0
RBMY1B	Gm21677	ortholog_many2many			0
RBMY1B	Gm4064	ortholog_many2many			0
RBMY1B	Gm21693	ortholog_many2many			0
RBMY1B	Gm29289	ortholog_many2many	0.3221	0.5534	0
RBMY1B	Gm21704	ortholog_many2many			0
RBMY1B	Gm3376	ortholog_many2many			0
RBMY1B	Rbmy	ortholog_many2many			0
RPS3AP32					
AL161729.3					
AP004372.1					
TBC1D23	Tbc1d23	ortholog_one2one	0.0284	0.5112	1
AL672212.1					
BCL7C	Bcl7c	ortholog_one2one	0.0484	0.474	1
DLGAP4	Dlgap4	ortholog_one2one	0.0184	0.5655	1
NANOGP11					
LINC01935					
AL356311.1					
AC108051.1					
C9orf139					
MIR762HG					
UBALD2	Ubald2	ortholog_one2one	0.0433	0.5263	1
ZBTB20	Zbtb20	ortholog_one2one	0.0105	0.3895	1
HPSE	Hpse	ortholog_one2one	0.1362	0.5886	1
DLGAP2					
KLK15	Klk15	ortholog_one2one	0.1409	0.7598	1
ZBTB20-AS5					
MYL9	Myl9	ortholog_one2one	0.0023	0.8926	1
TGIF2LY	Tgif2lx2	ortholog_many2many	0.804	1.1153	0
TGIF2LY	Tgif2lx1	ortholog_many2many	0.804	1.1153	0
KCNMA1	Kcnma1	ortholog_one2one	0.0059	0.2961	1
DLGAP4-AS1					
CDH17	Cdh17	ortholog_one2one	0.1365	0.5509	1
LINC01768					
TMEM182	Tmem182	ortholog_one2one	0.0593	0.5514	1
DOCK7	Dock7	ortholog_one2one	0.0094	0.4902	1
NDUFA5P10					
POF1B	Pof1b	ortholog_one2one	0.0573	0.4214	1
NTM	Ntm	ortholog_one2one	0.0522	0.5702	1
FAM27E3					
LINC00278					
GAPDHP56					
DENR	Denr	ortholog_one2one	0.0162	0.3873	1
AL138847.2					
AL451044.1					
NTM-IT					
MGAT4FP					
AP003084.1					
AP000844.2					
AC145207.4					
AF188030.1					
AP000844.1					
KLK1					
AC026333.2					
KRT18P39					
SCYL2	Scyl2	ortholog_one2one	0.037	0.4415	1
AL121929.3					
AC091181.1					
LINC01229					
HCAR1	Hcar1	ortholog_one2one	0.1117	0.9067	1
SH3PXD2A-AS1					
AC015883.1					
ABCA10					
AC026333.3					
HCAR2	Hcar2	ortholog_one2many	0.1037	0.9301	1
PGBD4P4					
HCAR3	Hcar2	ortholog_one2many	0.1236	0.962	1
CROCCP5					
HS6ST1P1					
ATP5MG	Atp5l	ortholog_many2many	0.0976	0.2676	1
ATP5MG	Gm5426	ortholog_many2many	0.1436	0.2733	0
AC026333.4					
NBPF2P					
AL592309.1					
PPP1R11P1					
AC089984.2					
TTC36	Ttc36	ortholog_one2one	0.0578	0.4574	1
SH3PXD2A	Sh3pxd2a	ortholog_one2one	0.0439	0.7125	1
MRPS10P1					
MYO1D	Myo1d	ortholog_one2one	0.0108	0.4856	1
AC008273.1					
AC009159.2					
BACH1-IT3					
SLC25A44	Slc25a44	ortholog_one2one	0.0185	0.5755	1
BACH1-IT1					
LINC02479					
MAF	Maf	ortholog_one2one	0.0086	0.3867	1
AC079336.5					
SNRPGP4					
AL391280.2					
AC124283.1					
SLC7A6OS	Slc7a6os	ortholog_one2one	0.1524	0.7757	1
AC020978.9					
AC018511.1					
RPL36AP51					
AC009432.2					
KPNA4	Kpna4	ortholog_one2one	0.0051	0.2255	1
Z97056.3					
Z97056.1					
NKX6-3	Nkx6-3	ortholog_one2one	0.2243	1.35	0
DARS1	Dars	ortholog_one2one	0.0183	0.3647	1
RPS5	Rps5	ortholog_one2one	0.0044	0.5691	1
CD28	Cd28	ortholog_one2one	0.2006	0.6006	1
AC010615.2					
KCNJ4	Kcnj4	ortholog_one2one	0.0102	1.1594	1
CLIC4P3					
SLITRK1	Slitrk1	ortholog_one2one	0.011	0.3157	1
TMEM30CP					
RPS2P55					
AC123912.6					
AC125238.2					
AL691482.4					
ZNF629	Zfp629	ortholog_one2one	0.0502	0.9575	1
AL096840.2					
IFT46	Ift46	ortholog_one2one	0.0338	0.6927	1
AOC2	Aoc2	ortholog_one2one	0.1189	0.4573	1
GUCY2F	Gucy2f	ortholog_one2one	0.0546	0.3328	1
AC092436.1					
LINC02450					
AC243301.1					
BNIP3P26					
AP001267.5	Kmt2a	ortholog_one2many			0
KRT18P40					
PPAT	Ppat	ortholog_one2one	0.042	0.647	1
VN1R80P					
AC107079.1					
AC068620.2					
AC093010.1					
AP001267.3					
BX664730.1					
AC138024.1					
FZD3	Fzd3	ortholog_one2one	0.0091	0.3398	1
VTI1BP1					
AC105290.1					
AC129803.1					
EIF1AX-AS1					
AC124283.3					
ZNF714					
AC124283.4					
FTLP13					
ANKRD10	Ankrd10	ortholog_one2one	0.12	0.4589	1
CPXM2	Cpxm2	ortholog_one2one	0.0535	0.6927	1
AC012493.3					
AL354984.1					
AKT1	Akt1	ortholog_one2one	0.0086	0.9435	1
SGIP1	Sgip1	ortholog_one2one	0.0266	0.2996	1
RMDN3	Rmdn3	ortholog_one2one	0.0822	0.5157	1
LINC02002					
LINC01742					
POU5F1B	Pou5f1	ortholog_one2many	0.0994	0.684	1
GDF10	Gdf10	ortholog_one2one	0.0823	0.8912	1
RAC1P9					
AP000553.4					
AC018714.1					
AP000553.2					
AP000553.1					
LRATD2	Lratd2	ortholog_one2one			1
GRIA1	Gria1	ortholog_one2one	0.0251	0.6143	1
AL354984.2					
SH3GLB2	Sh3glb2	ortholog_one2one	0.0145	0.5099	1
AC138761.1					
LINC01141					
AC138356.1					
LINC02231					
AC138356.2					
AP000553.7					
LINC02389					
AP000553.5					
AP000553.9					
AC138761.2					
CCAT2					
ERLIN2	Erlin2	ortholog_one2one	0.0121	0.6086	1
AP000553.6					
PCAT1					
IGLV1-40					
AC092573.2					
ASH2LP1					
IGLVI-38					
AC141273.3					
HLA-DQB1-AS1					
IGLV5-37					
DCUN1D3	Dcun1d3	ortholog_one2one	0.0104	0.2941	1
HLA-DQB1					
IGLV1-36					
ERI1	Eri1	ortholog_one2one	0.0861	0.7792	1
AC091563.1					
AC009286.1					
CACNG7	Cacng7	ortholog_one2one	0	0	1
ZNF620					
IGLV7-35					
AL139254.1					
HAUS6P3					
LINC02854					
AC092848.1					
AC141273.2					
AC092848.2					
WIF1	Wif1	ortholog_one2one	0.0326	0.4634	1
HSPA8P5					
AL139254.2					
LYRM1	Lyrm1	ortholog_one2one	0.0591	0.423	1
AL139254.3					
CAMK2N1	Camk2n1	ortholog_one2one	0.0103	0.2119	1
LINC02804					
GPD2	Gpd2	ortholog_one2one	0.0359	0.658	1
AC018714.2					
ZNF619					
AL133444.1					
SLC25A5P3					
AC239803.1					
AL133325.2					
LINC01445					
PDZK1P1					
TIGD1					
BCLAF1P2					
SAMD4A	Samd4	ortholog_one2one	0.0175	0.2975	1
GTF2H2B					
FP325313.1					
FAM27E5					
TOR1AIP2	Tor1aip2	ortholog_one2one	0.2024	0.5711	1
RPL12P38					
AC087575.1					
CHRNG	Chrng	ortholog_one2one	0.0498	0.7151	1
AC209154.1					
FP325313.3					
AC132825.3					
FP325313.2					
AC132825.4					
AC007207.1					
AC135895.1					
AC135776.4					
AC132825.5					
MTCYBP13					
AC135776.5					
LINC02184					
CDH24	Cdh24	ortholog_one2one	0.0346	0.5081	1
LINC02210-CRHR1	Crhr1	ortholog_one2many	0.007	0.7643	1
ERI2	Eri2	ortholog_one2one	0.1578	0.5073	1
AC135776.3					
MTND1P15					
AC132825.2					
AC135776.1					
MUL1	Mul1	ortholog_one2one	0.0511	0.6549	1
AC217774.2					
AC135776.2					
MTRNR2L1					
MAPT-IT1					
AC121334.2					
USP8P1					
MTND2P13					
RPL3P2					
RPS4XP4					
LINC02571					
UCP1	Ucp1	ortholog_one2one	0.1269	0.6749	1
AL671883.1					
NMTRS-TGA3-1					
DOCK3	Dock3	ortholog_one2one	0.0091	0.3653	1
FAM43B	Fam43b	ortholog_one2one	0.0299	0.6328	1
BX927168.2					
AC132825.1					
CCND2	Ccnd2	ortholog_one2many	0.0362	0.5145	1
RNF128	Rnf128	ortholog_one2one	0.0263	0.2833	1
HLA-C					
CRHR1	Crhr1	ortholog_one2many	0.0196	0.7124	1
AL354984.3					
MTCO3P13					
MTATP6P3					
AC132825.7					
GDF2	Gdf2	ortholog_one2one	0.1108	0.7414	1
FAM171A2	Fam171a2	ortholog_one2one	0.0261	0.7164	1
LINC02185					
RBP3	Rbp3	ortholog_one2one	0.0818	0.94	1
AC022784.5					
AC079316.2					
PPP1R3B	Ppp1r3b	ortholog_one2one	0.0487	0.6817	1
CHST11	Chst11	ortholog_one2one	0.0127	0.7813	1
AC016549.1					
LINC02512					
AC006122.1					
AC121334.3					
ABCD2	Abcd2	ortholog_one2one	0.0302	0.4578	1
AC074255.1					
LINC02186					
CCND2-AS1					
HSP90AA6P					
NAIP					
AC091173.1					
AC132825.6					
AC132825.8					
LINC02382					
AC131055.2					
ZDHHC8	Zdhhc8	ortholog_one2one	0.0586	0.8231	1
AL139147.1					
AC131055.1					
TIGAR	Tigar	ortholog_one2one			1
AL138830.2					
AP005059.2					
AC105384.2					
AC108019.2					
AC110792.4					
AP005059.1					
CLUHP11					
AC108019.1					
AC131274.3					
ELOBP3					
AC079316.1					
CCNYL3					
AL138830.1					
AC004637.1					
AC131274.1					
PIP5K1C	Pip5k1c	ortholog_one2one	0.0536	1.1381	1
AC131274.2					
LINC01727					
EPB41L3	Epb41l3	ortholog_one2one	0.0621	0.7056	1
AC008012.1	Ccnd2	ortholog_one2many	0.0339	0.5404	1
AC096733.2					
SMARCD1	Smarcd1	ortholog_one2one	0.0027	0.2989	1
FGF23	Fgf23	ortholog_one2one	0.1743	1.8371	1
TNRC18P1					
TBC1D9	Tbc1d9	ortholog_one2one	0.0201	0.7628	1
SLC41A2	Slc41a2	ortholog_one2one	0.0524	0.7169	1
APPBP2	Appbp2	ortholog_one2one	0.004	0.4021	1
CIART	Ciart	ortholog_one2one	0.1264	0.5428	1
PPIAP69					
ZNF652P1					
ST13P14					
AC126120.1					
CTBP2P5					
AL442128.2					
PARP1P1					
AC009975.1					
DAP3	Dap3	ortholog_one2one	0.102	0.5701	1
ACSM3	Acsm3	ortholog_one2one	0.0754	0.4287	1
LINC01726					
AC073488.7					
FSHR	Fshr	ortholog_one2one	0.0675	0.4633	1
AC073488.9					
LINC00431					
AL353708.3					
AC087382.2					
AC073488.8					
AL442128.1					
AC087382.1					
AC073488.10					
AC073488.5					
AC136687.3					
AC089985.2					
TOR1AIP1	Tor1aip1	ortholog_one2one	0.1754	0.5421	1
AC073488.11					
AC136687.4					
FBXO6	Fbxo6	ortholog_one2many	0.1945	1.1208	1
KRT18P20					
AC073488.4					
AC058822.1					
SPATA31E3P					
AC146944.3					
AC073488.3					
SUMO2P15					
PRSS30P					
LINC00368					
AC011921.3					
AL353704.2					
DHX16					
NAMPTP3					
AC110792.1					
MICOS13	Micos13	ortholog_one2one	0.1139	0.9598	1
TTLL1	Ttll1	ortholog_one2one			1
HTR6	Htr6	ortholog_one2one	0.0599	0.6763	1
AC105384.1					
VPS35P1					
AC095040.1					
RPL22P13					
AC110792.3					
VN1R68P					
SLC2A13	Slc2a13	ortholog_one2one	0.0561	0.5699	1
AL591866.1					
AL672142.1					
ZG16B	Sbpl	ortholog_one2one	0.7674	64.7271	0
AC011921.1					
RPL23	Rpl23	ortholog_one2one	0	0	1
NOL9	Nol9	ortholog_one2one	0.2809	0.7011	1
AL592211.1					
VN1R69P					
PRR13P4					
LMO7DN					
LMO7DN-IT1					
LINC00561					
TTC25	Ttc25	ortholog_one2one	0.1275	0.8076	1
LRRC27	Lrrc27	ortholog_one2one	0.3235	0.8824	1
LARGE2	Large2	ortholog_one2one	0.0877	0.7278	1
AC004687.3					
AC005962.2					
RPL36	Rpl36	ortholog_one2one	0	0	1
AL139010.1					
MXRA8	Mxra8	ortholog_one2one	0.1286	1.3295	1
LPO	Lpo	ortholog_one2one	0.1226	0.6975	1
C12orf40	CN725425	ortholog_one2one	0.3095	0.7508	1
CDA	Cda	ortholog_one2one	0.0996	0.6446	1
CHIC2	Chic2	ortholog_one2one	0.0027	0.1832	1
GOLGA8EP					
MASP2	Masp2	ortholog_one2one	0.1071	0.5427	1
AC240504.1					
ZNF833P					
SLC25A15P4					
ZNF887P					
AC007240.3					
AC136687.2					
AC009975.2					
AC008543.1					
ELSPBP1					
AL590550.1					
AC011816.1					
AL606845.1					
HNRNPA1P10					
ASXL1	Asxl1	ortholog_one2one	0.1568	0.3901	1
LINC02534					
TRANK1	Trank1	ortholog_one2one	0.0944	0.5728	1
RPL30P13					
WASF5P					
AC073488.2					
AL109811.2					
ZNF488	Zfp488	ortholog_one2one	0.2947	0.9246	1
AL671883.2					
AC073488.6					
NHLH1	Nhlh1	ortholog_one2one	0.0334	0.696	1
SBF1	Sbf1	ortholog_one2one	0.0268	0.7503	1
PRKAA2	Prkaa2	ortholog_one2one	0.0099	0.4741	1
AL022476.1					
AL109811.3					
PINK1-AS					
AC009286.2					
AC004381.1					
AC096733.3					
DDOST	Ddost	ortholog_one2one	0.0253	0.6815	1
C20orf85	1700021F07Rik	ortholog_one2one	0.1925	0.8562	1
MTCO2P6					
MTCO1P6					
SPATA5	Spata5	ortholog_one2one	0.0868	0.4583	1
AL357141.1					
ACSM1	Acsm1	ortholog_one2one	0.1887	0.5732	1
PROS2P					
AC097486.1					
COL20A1	Col20a1	ortholog_one2one	0.1614	0.7467	1
VANGL2	Vangl2	ortholog_one2one	0.0025	0.7899	1
FRK	Frk	ortholog_one2one	0.0601	0.4926	1
AC034159.2					
HSPE1P19					
ANKRD60	Ankrd60	ortholog_one2one	0.292	0.9883	1
GGNBP1					
WASHC4	Washc4	ortholog_one2one	0.0156	0.4679	1
AF254982.1					
LINC02155					
AC010136.1					
LINC02842					
GATA5	Gata5	ortholog_one2one	0.1233	1.0735	1
CDC5L	Gm9046	ortholog_one2many	0.0196	0.591	0
CDC5L	Gm9049	ortholog_one2many	0.0177	0.586	0
CDC5L	Gm32802	ortholog_one2many	0.0179	0.5857	0
CDC5L	Gm9048	ortholog_one2many	0.019	0.5921	0
CDC5L	Cdc5l	ortholog_one2many	0.0091	0.566	1
CDC5L	Gm9045	ortholog_one2many	0.0177	0.586	0
CDC5L	Gm32717	ortholog_one2many	0.0179	0.5857	0
CDC5L	Gm9044	ortholog_one2many	0.0184	0.5845	0
CDC5L	Gm9040	ortholog_one2many	0.0184	0.5845	0
SBNO2	Sbno2	ortholog_one2one	0.0939	1.5508	1
IGHV1OR21-1					
TPI1P3					
AC079168.1					
AP001464.1					
LINC00336					
AC026402.1					
FAM8A3P					
BAK1	Bak1	ortholog_one2one	0.1277	0.7566	1
AC069061.1					
CABP5	Cabp5	ortholog_one2one	0.0319	0.5645	1
C1GALT1P3					
TCTEX1D1	Tctex1d1	ortholog_one2one	0.2869	0.7391	1
AC025524.1					
MKS1	Mks1	ortholog_one2one	0.0546	0.5459	1
RAPGEFL1	Rapgefl1	ortholog_one2one	0.0298	0.6165	1
DYNLL1P1					
UNGP3					
LINC02431					
HSPE1P13					
AL499627.2					
SOS1	Sos1	ortholog_one2one	0.0098	0.4185	1
AL499627.1					
RPL8	Rpl8	ortholog_one2one	0	0	1
MTCO3P1					
CHST10	Chst10	ortholog_one2one	0.0527	0.5519	1
BX927168.1					
AC004381.3					
CACNG8	Cacng8	ortholog_one2one	0.0217	0.9303	1
ZSCAN25	Zscan25	ortholog_one2one	0.0889	0.7463	1
AL136140.1					
AC004381.4					
ZNF280B					
AL136140.2					
PINK1	Pink1	ortholog_one2one	0.1164	0.5981	1
AC093512.2	Aldoart1	ortholog_many2many	0.0315	0.6008	0
AC093512.2	Aldoa	ortholog_many2many	0.0101	0.5192	1
AC093512.2	Aldoart2	ortholog_many2many	0.0371	0.4886	0
TOLLIP-AS1					
GCHFR	Gchfr	ortholog_one2one	0.0329	0.3752	1
RPL7L1P5					
AC136297.1					
LINC02689					
AKIP1	Akip1	ortholog_one2one	0.1677	0.5792	1
LNX1	Lnx1	ortholog_one2one	0.0653	0.5893	1
ANKRD30BP2					
KANSL1L-AS1					
SSNA1	Ssna1	ortholog_one2one			1
PBX2					
AC006994.1					
FAM3B	Fam3b	ortholog_one2one	0.1252	0.8832	1
GOLGA8G	Gm13547	ortholog_one2many	0.9458	2.4714	0
FBH1	Fbh1	ortholog_one2one	0.0511	0.4889	1
ANAPC2	Anapc2	ortholog_one2one	0.0289	0.9845	1
ZFYVE19	Zfyve19	ortholog_one2one	0.1254	0.5302	1
CUBN	Cubn	ortholog_one2one	0.1955	0.655	1
RPE	Rpe	ortholog_one2many	0.0203	0.3848	1
VSTM2A	Vstm2a	ortholog_one2one	0.0841	0.533	1
MFAP4	Mfap4	ortholog_one2one	0.0278	0.6524	1
MIR1-1HG-AS1					
WDR19	Wdr19	ortholog_one2one	0.0549	0.5623	1
CR936218.2					
METAP1D	Metap1d	ortholog_one2one	0.0428	0.3079	1
AC217774.1					
MIR1-1HG					
OGFOD1	Ogfod1	ortholog_one2one	0.103	0.4812	1
MAPT	Mapt	ortholog_one2one	0.0458	0.6325	1
NUDT19P4					
AL133334.1					
AL096865.1					
AATBC					
AL138880.1					
SUPT3H	Supt3	ortholog_one2one	0.1174	0.5875	1
AL353807.5					
VSTM2A-OT1					
PPP6R2	Ppp6r2	ortholog_one2one	0.096	0.528	1
LNX1-AS2					
YY1AP1	Gon4l	ortholog_one2many	0.2723	0.5854	0
AC093512.1					
SLC25A12	Slc25a12	ortholog_one2one	0.0175	0.5453	1
AC024940.11					
AC024940.8					
IL2RA	Il2ra	ortholog_one2one	0.2797	0.749	1
SINHCAF					
SOS1-IT1					
ALDOA	Aldoart1	ortholog_many2many	0.0555	0.5096	0
ALDOA	Aldoa	ortholog_many2many	0.0266	0.4378	1
ALDOA	Aldoart2	ortholog_many2many	0.0371	0.4886	0
ZNF385C	Zfp385c	ortholog_one2one	0.0949	0.4482	1
GSX2	Gsx2	ortholog_one2one	0.0554	0.7957	1
AL121871.1					
SLAMF6	Slamf6	ortholog_one2one	0.4979	0.71	0
TUSC2P2					
AL158053.1					
AC068931.1					
NRG1-IT1					
AL359263.1					
CCDC188	Ccdc188	ortholog_one2one	0.2217	0.794	1
ST13P18					
ALDH7A1	Aldh7a1	ortholog_one2one	0.0682	0.5152	1
NRG1-IT3					
AL023280.1					
C17orf113					
RPL7P55					
C12orf45	D10Wsu102e	ortholog_one2one	0.1635	0.7635	1
AC083977.1	AC132407.1	ortholog_one2one	0.04	0.2123	1
HPCAL1	Hpcal1	ortholog_one2one	0.0061	0.9443	0
AC000123.3					
AC000123.1					
AC007663.2					
AC000123.2					
RUNX2-AS1					
CFL1P7					
NKIRAS2	Nkiras2	ortholog_one2one	0.0044	0.8209	1
MANF	Manf	ortholog_one2one	0.0131	0.3761	1
RARB	Rarb	ortholog_one2one	0.0073	0.415	1
RBM22P4					
LINC00896					
ZNF800	Zfp800	ortholog_one2one	0.0288	0.2409	1
HMGN2	Gm10282	ortholog_one2many	0.0164	0.2128	0
HMGN2	Hmgn2	ortholog_one2many	0.0164	0.2128	1
AL138880.2					
KIR3DL1					
MYL6P1					
PPP1R18					
RUNX2	Runx2	ortholog_one2one	0.0064	0.24	1
MAPK7	Mapk7	ortholog_one2one	0.0383	0.5588	1
BBS2	Bbs2	ortholog_one2one	0.0556	0.4823	1
TRIM26					
ALDH1L2	Aldh1l2	ortholog_one2one	0.04	0.6175	1
NAP1L3	Nap1l3	ortholog_one2one	0.1281	0.5686	1
RNF150	Rnf150	ortholog_one2one	0.0236	0.3858	1
NRG1	Nrg1	ortholog_one2one	0.2209	0.5913	1
C1orf143					
AL137186.1					
CACNG6	Cacng6	ortholog_one2one	0.0833	0.8563	1
HAT1	Hat1	ortholog_one2one	0.0361	0.3086	1
FAM133A					
APOOP3					
NXNP1					
Z94722.1					
C11orf16	BC051019	ortholog_one2one	0.2785	0.5853	1
ZDHHC4	Zdhhc4	ortholog_one2one	0.1552	0.677	1
C18orf32	BC031181	ortholog_one2one	0.1254	0.5606	1
C15orf62	Gm14137	ortholog_one2one	0.0834	0.4994	1
ZNF280A					
ITPRID2	Itprid2	ortholog_one2one	0.1091	0.642	1
DNAJC17	Dnajc17	ortholog_one2one	0.0522	0.4728	1
LINC02555					
DCAF1	Dcaf1	ortholog_one2one	0.0155	0.3488	1
RPL17					
INSL5	Insl5	ortholog_one2one	0.2991	0.934	1
AC105914.2					
AC244090.1					
ADAM29	Adam29	ortholog_one2one	0.3091	0.9345	1
AL138930.1					
QRSL1P3					
HIPK3	Hipk3	ortholog_one2one	0.0467	0.378	1
CD84	Cd84	ortholog_one2one	0.283	0.4255	1
NARS1P2					
AC008543.3					
AC034159.1					
RALGAPA1	Ralgapa1	ortholog_one2one	0.0245	0.3632	1
ZNF823					
AC092639.1					
LINC01034					
LINC02504					
NT5DC1	Nt5dc1	ortholog_one2one	0.1235	0.4866	1
AC104852.1					
AL136441.1					
AL365394.1					
AC074254.2					
AL161717.1					
FLOT1	Flot1	ortholog_one2one	0.0074	0.6061	1
AC106017.2					
HLA-DQB3					
DNAJC7	Dnajc7	ortholog_one2one	0.0137	0.407	1
PAIP1P1					
HLA-DQA2					
NEU1					
NKAIN3-IT1					
SRPK2P					
B9D1	B9d1	ortholog_one2one	0.0301	0.5637	1
LY6G6F					
XRCC6P4					
PDGFRA	Pdgfra	ortholog_one2one	0.0435	0.6066	1
AC018861.2					
AC090577.1					
RBM15B	Rbm15b	ortholog_one2one	0.0338	0.7758	1
AC023095.1					
AC092140.2					
AC018861.1					
LY6G6E					
AC135050.3					
AL050331.2					
NUDT21	Nudt21	ortholog_one2one	0.0021	0.2695	1
NKAIN3	Nkain3	ortholog_one2one	0.0271	0.5817	1
NIP7P3					
AC026434.1					
AC021269.3					
COL10A1					
LY6G6D					
AC008877.1					
AC021269.1					
AP001437.2					
AC074254.1					
AC105914.1					
AC135050.4					
LINC02174					
TOP2B	Top2b	ortholog_one2one	0.0181	0.4119	1
ANXA8	Anxa8	ortholog_one2many	0.038	0.5648	1
AC012314.9					
ZNF668	Zfp668	ortholog_one2one			1
GOLGA6L22					
AC079742.1					
BRINP2	Brinp2	ortholog_one2one	0.0271	0.4255	1
HERC2P7					
AURKAIP1	Aurkaip1	ortholog_one2one	0.2078	1.0685	1
AC073254.1					
FYB2	Fyb2	ortholog_one2one	0.2971	0.6382	1
KCTD12	Kctd12	ortholog_one2one	0.0061	0.5321	1
PSMD7P1					
DYRK1A	Dyrk1a	ortholog_one2one	0.0036	0.2698	1
PAX1	Pax1	ortholog_one2one	0.0833	0.7996	1
AC000403.1					
BTF3P11					
AC135050.1					
NOTCH4					
APOH	Apoh	ortholog_one2one	0.1518	0.6863	1
ACOD1	Acod1	ortholog_one2one	0.1126	0.5642	1
LINC01710					
AC084290.1					
LINC01645					
LRRK2-DT					
AL390840.1					
LINC01741					
EFHD1	Efhd1	ortholog_one2one	0.087	0.8849	1
PAICSP7					
RPL7P44					
HLA-L					
CCNB1IP1P3					
AL136114.1					
AL022161.1					
STH					
DHX9P1					
HCG18					
LRRK2	Lrrk2	ortholog_one2one	0.0756	0.6651	1
MAPT-AS1					
AC009452.1					
LINC01066					
BRD9P1					
AC107032.3					
AC138749.3					
AC107032.2					
AP001107.5					
IL15RA	Il15ra	ortholog_one2one	0.3803	0.696	0
RPL7AP9					
AL158065.1					
SPPL2C	Sppl2c	ortholog_one2one	0.1853	0.9305	1
YWHAQP7					
AC107032.1					
AC008543.2					
RPL7P43					
LINC02210					
AC093014.1					
RTN4R	Rtn4r	ortholog_one2one	0.0625	0.8833	1
MROH2B	Mroh2b	ortholog_one2one	0.1107	0.5502	1
RPL21P44					
ABBA01000935.2					
MORF4L2P1					
POU6F2	Pou6f2	ortholog_one2one	0.0544	0.379	1
LNX1-AS1					
RIMKLBP2					
LYPLAL1	Lyplal1	ortholog_one2one	0.1574	0.6312	1
AC138749.1					
AC110792.2					
AC124017.1					
WDR95P					
AC006947.1					
HLA-DQB2					
AC245036.4					
KANSL1L	Kansl1l	ortholog_one2one	0.107	0.3283	1
PRKCA-AS1					
AC130650.1					
TVP23CP2					
PRKCA	Prkca	ortholog_one2one	0.0027	0.4785	1
MRTFB	Mrtfb	ortholog_one2one	0.0857	0.5343	1
EIF4E2	Eif4e2	ortholog_one2one	0.0074	0.282	1
GPSM3					
TRAM1	Tram1	ortholog_one2one	0.0348	0.5255	1
FBXO38	Fbxo38	ortholog_one2one	0.03	0.4215	1
AL591684.3					
TRIM39					
FAM25G	Fam25c	ortholog_one2many	0.1343	0.6881	1
AC008264.1					
PODXL	Podxl	ortholog_one2one	0.6842	1.3752	0
SARDH	Sardh	ortholog_one2one	0.059	0.7416	1
SAP30BP	Sap30bp	ortholog_one2one	0.0206	0.4575	1
FAM236B	1700011M02Rik	ortholog_many2many	0.5089	0.3473	0
FAM236B	Gm9112	ortholog_many2many	0.5282	0.4096	0
FAM226B					
TFAP2A	Tfap2a	ortholog_one2one	0.0061	0.2583	1
DMRTC1B					
PPP4R1L					
KIR2DL3					
POU6F2-AS2					
AC021269.2					
POU6F2-AS1					
CACNG5	Cacng5	ortholog_one2one	0.0124	0.8026	1
CNP	Cnp	ortholog_one2one	0.0727	0.6647	1
AC024475.2					
AC024475.3					
LYPLAL1-DT					
EPN2	Epn2	ortholog_one2one	0.064	0.4745	1
AC005544.1					
FAM236D	1700011M02Rik	ortholog_many2many	0.5365	0.365	0
FAM236D	Gm9112	ortholog_many2many	0.5557	0.4315	0
AC005544.2					
LINC02710					
CACNG4	Cacng4	ortholog_one2one	0.0076	0.548	1
PTH	Pth	ortholog_one2one	0.2026	0.5282	1
SLC44A4					
CALM1P1					
AC116021.1					
AC004221.1					
LINC02489					
IRF6	Irf6	ortholog_one2one	0.0108	0.5059	1
LEMD3	Lemd3	ortholog_one2one	0.0709	0.4457	1
AC100778.2					
AC087392.1					
AC100778.3					
AC130650.2					
NXN	Nxn	ortholog_one2one	0.0099	0.5049	1
HERC2P2					
RPL17-C18orf32					
AC120042.1					
DPPA2P2					
AC245128.12					
HMGN2P36					
AGAP9					
AC108064.1					
JPH2	Jph2	ortholog_one2one	0.0767	1.014	1
GALNTL6	Galntl6	ortholog_one2one	0.0182	0.3853	1
SLC25A6P1					
ACBD5	Acbd5	ortholog_one2one	0.0997	0.5115	1
RPL41P1					
BMS1P2					
AL109807.1					
LINC01432					
AL035258.1					
AC069061.2					
LINC01427					
AL591684.2					
PDLIM1P3					
AL035447.1					
RPP21					
GTF2IP6					
AC026124.2					
AL391001.1					
AL049737.1					
AL357568.2					
AL591684.1					
VN1R71P					
LINC02471					
PBX1	Pbx1	ortholog_one2one	0	0	1
SLC6A21P					
GPD1	Gpd1	ortholog_one2one	0.0289	0.5154	1
TAP2					
TUFMP1					
AC129926.2					
H3P10					
AC007038.1					
VKORC1	Vkorc1	ortholog_one2many	0.0819	0.798	1
VKORC1	Gm21974	ortholog_one2many	0.0801	0.7472	1
TRDMT1	Trdmt1	ortholog_one2one	0.1095	0.5628	1
AC011921.2					
AC023824.5					
KIRREL1-IT1					
KIRREL1	Kirrel	ortholog_one2one	0.0261	0.6761	1
AC087392.2					
