Gene,GRAVY_Score
LRCH3,-0.5728
GCNT4,-0.2294
RP11-169K16.8,-0.0688
WDR45,0.2151
ZNF616,-0.3615
FAM3A,-0.0688
GRIK2,-0.0688
MIPOL1,-1.1413
CEP57,-0.9859
MXRA8,-0.3855
SATL1,-0.8361
SLC6A17,-0.0688
ENO3,-0.2929
FBLL1,-0.4228
RPS6,-0.0688
BRD7P2,-0.0688
LRP2BP,-0.7516
ANKRD30BP1,-0.0688
WDTC1,-0.0688
ELMO1,-0.1377
OR6X1,0.8785
OR8H2,0.6596
AL035460.1,-0.0688
NAT8L,0.0510
FBXO40,-0.4580
ZFP36L1,-0.8536
STAC2,-0.7257
DLK1,0.2037
OR1G1,0.7396
AKR1CL1,-0.1882
BAIAP2L2,-0.6469
GALK2,-0.1623
GPRIN3,-0.7282
MRPS11,-0.8466
HAO2,-0.0688
C19orf18,-0.3874
FGF1,-0.0688
SLC17A3,0.3725
OR6N1,0.7615
CCDC135,-0.0688
NELL2,-0.2325
GRHPR,-0.1081
PP2D1,-0.0688
VMA21,-0.0688
TBK1,-0.0979
PPIP5K1,-0.1662
C11orf86,-1.1209
FGF7P2,-0.0688
HIF1A,-0.5244
PTDSS1,0.1425
OR2T8,0.5792
MUC4,-0.2246
NRIP3,-0.3481
CSTF2T,-0.4547
TGIF1,-0.9369
C1orf167,-0.0688
CUL1,-0.5162
RAB23,-0.4705
C1orf180,0.1512
PKN2,-0.4091
LINC00846,-0.0688
RPS15A,-0.0577
ZKSCAN8,-0.6633
RWDD4,-0.6264
OR2B11,0.6442
RBM44,-0.0688
CKS1B,-0.0688
KLHDC10,-0.0688
MOXD1,-0.0688
HIGD2B,0.1575
CTD-2368P22.1,-0.3542
C7orf43,-0.0688
CCDC183,-0.7022
DNM2,0.3902
MAP6D1,-0.0688
RP1-46F2.2,-0.0688
LEPROTL1,0.9179
ANKRD62,-0.9086
SOX5,-0.7309
TTLL3,-0.3472
AZIN1,0.0567
CARHSP1,-0.5421
SLITRK5,-0.4760
SLC46A1,0.6888
RNF123,-0.0688
MTHFD2P5,-0.0688
FGF5,-0.2824
IL11RA,0.2926
WI2-1896O14.1,-0.0688
C17orf82,-0.6004
H1FNT,-1.2522
ZNF654,-0.7604
GPR4,-0.0688
AL358781.1,-0.0688
ELMOD2,-0.5948
ZDHHC4,0.5824
ORAI1,0.5444
CES4A,-0.2847
ATP10B,-0.4439
NDRG1,-0.2371
EIF4E1B,-0.8829
CACNA1C,-0.2330
AURKB,-0.4006
TBX10,-0.3592
EVX2,-0.2471
TESPA1,-0.4448
NCAM1,-0.5406
IL25,-0.5981
NAV2,-0.6561
ARHGAP32,-0.5831
OR4A16,0.8872
MPDZ,-0.7273
ZMYM6,-0.0688
CLK4,-1.2989
SHISA3,-0.0609
FAM172BP,-0.0688
UNCX,-0.4970
ZNF826P,-0.0688
OR4D11,0.6289
YPEL2,-0.0688
GNPDA1,-0.2156
CD248,-0.2774
C21orf90,-0.0688
ZNF543,-0.7107
PLEC,-0.6744
OR52L1,0.9714
DEF6,-1.3790
JRKL,-0.0688
ZNF121,-0.7424
MST1P2,-0.0688
CEBPA-AS1,-0.0688
MINOS1,-0.0688
DEFB107A,0.3743
MRPL48,-0.5340
RP1-62O9.3,-0.0688
ZFP41,-0.0688
TRIOBP,-0.6988
DHRS4L2,0.2429
SAGE1,-0.6047
HTR3C,0.2197
HECW1-IT1,-0.0688
ZNF207,-1.3514
MCTP2,-0.5785
RUVBL1,0.0573
EMC3-AS1,-0.0688
BDNF,-0.0688
MEIS3,-0.4714
CCL19,-0.0688
SH2D3C,-0.0688
KIAA1551,-0.7343
ARL4D,-0.2597
PPP1R42,-0.2903
C11orf82,-0.0688
MAF,-0.4974
ANKRD45,-0.0688
AMPH,-0.0688
SFT2D3,0.5544
DEFB106A,0.1200
MICU3,-0.1465
GDPD4,-0.0688
RP11-1407O15.2,-0.1799
CSMD1,-0.2016
RP11-435B5.4,-0.0688
NPW,-0.6398
CCR10,0.1364
EFCAB5,-0.8492
KCNA4,-0.0688
STOX2,-0.4406
CRAT,-0.0688
ZNF212,-0.5456
OR10A6,0.7936
ZFP3,-0.9594
FBXL6,0.0933
CDR2L,-0.8449
CAST,-1.0787
CENPQ,-0.8287
TDRD6,-0.2978
DEFB131,0.1157
ZCCHC10,-1.3186
BCL2L11,-1.0902
CLEC4G,0.0658
MRPS23,-0.0688
CCDC102B,-0.6283
C3orf80,-0.0623
SSTR3,0.2522
HTR4,0.4429
ZNF786,-0.9242
C11orf44,-0.0762
C5orf46,0.0181
UGT8,0.0532
ICOS,0.3893
AP001266.1,-0.0688
PRICKLE4,-0.8843
AC090804.1,-0.0688
LZTS3,-0.7455
KRTAP8-1,0.0095
GYLTL1B,-0.4759
ANKDD1A,-0.2886
HLTF,-0.0688
PHF21B,-0.0688
RPS19BP1,-0.0688
GRIN1,-0.0688
AC127496.1,-0.4096
KLK4,0.3573
VIPAS39,-1.4378
MTMR4,-0.1908
ATAD5,-0.0688
SAV1,-0.0688
MYO1F,-0.3461
C14orf177,-0.0688
PLCH1,-0.6238
RTP1,-0.3829
KLF14,-0.4749
KIF26A,-0.3908
ME3,-0.0688
APOBEC4,-0.0688
B3GNT8,-0.0688
CTC1,-0.3511
TAS2R42,0.7955
TCEB3B,-1.1448
GLE1,-0.4086
CREG2,-0.0688
SERF1A,-1.2519
NDUFA12,-0.6679
SPDYE4,-0.7488
SLC52A2,1.9000
PTRHD1,-0.0688
DCX,-0.0688
IL6ST,-0.2949
TMEM106A,0.2253
MED12,-0.0688
ANKRD46,-0.0573
ETFB,-0.1258
LINC00482,-0.0688
CNTN2,-0.0688
OR4A15,0.6233
NDN,-0.4156
FAM192A,-1.7177
TRIM26,-0.0688
CHAF1B,-0.0688
GPR148,0.6398
CMTM4,-0.0688
CEP152,-1.2029
URAD,-0.2069
LSMEM1,-0.0688
ANXA2R,-0.4565
SWI5,-0.5053
KLRD1,-0.6072
CD7,0.1769
RPL27A,-0.9415
ZNRF1,0.1865
UTP23,-0.1015
PHYHD1,-0.0688
AHRR,-0.5014
TPM3P8,-0.0688
LRRC37B,-0.0374
SLC4A1AP,-0.0688
RAD51D,0.0610
MFAP3,1.7706
RTEL1,-0.4070
WDFY3-AS2,-0.0688
GALNT11,-0.0688
LRRN4CL,0.0941
ATRIP,-0.0688
AQP7P3,-0.0688
CCDC168,-0.8011
VWA9,0.1710
TBC1D22A,-0.0688
KDM4D,-0.5732
CLECL1,1.1571
EIF2S3L,-0.0250
ZNF761,-0.0688
TTC12,-0.8070
UGP2,-0.6817
DEFB4B,0.6047
KCNJ12,-0.0988
ZNF804B,-0.7918
ZFAS1,-0.0688
RBM10,-0.0688
SUZ12,-0.7270
HKR1,0.4595
NARF,-0.2386
ZNF645,-0.8798
AC015871.1,-0.0688
SEC14L2,-0.8283
CHD6,-0.0688
FMNL1,-0.3016
BAIAP3,-0.2286
PRRC2B,-0.0688
FAR2P1,-0.0688
PINX1,-1.1879
CAPZA3,-0.1967
LPL,-0.0123
LINC00334,-0.0688
COL19A1,-0.0688
SEMA6D,-0.3355
SLC22A1,0.4542
LGALS9C,0.0569
SEC24A,-0.1785
NQO1,-0.0688
STK25,-0.5867
ZDHHC20,-0.1952
GCFC2,-1.2071
AP003471.1,-0.0688
APOBR,-0.9231
MUM1L1,-0.6299
XAGE2,-1.2802
LPP,-0.8754
AC099522.1,-0.0688
DGKZP1,-0.0688
MCMDC2,0.0761
UBE2O,-0.5646
PRAMEF14,-0.0688
C1orf220,-0.0688
AP001324.1,-0.0688
FUT1,-0.0688
NXPH3,-0.0688
IL17RA,-0.0688
FAM210A,-0.0642
OR51F2,0.7392
RIIAD1,-0.4935
IRF9,-0.3119
COX5A,-0.1601
RGMA,0.0656
CD151,-0.0006
ADGB,-1.6200
CCDC43,-0.8700
KRTAP20-1,-0.4786
RLIM,-1.0673
CPNE1,-0.1529
LINC00207,-0.0688
ARGFX,-0.5867
ANXA2,-0.5259
SLC5A2,0.8497
ACTL7A,-0.3041
GMPPA,-0.0688
AC110781.3,-0.0688
AC026703.1,0.0818
OR4M2,0.7805
HAP1,-0.7270
LPA,-0.6857
SMCO3,-0.0138
KRTAP9-4,0.0617
GAPT,-0.0688
ABCC12,0.4014
COLEC10,-0.0688
C19orf70,0.0943
LINC00221,-0.0688
DNAL1,-0.4092
TMLHE,-0.0688
ARL10,0.0043
DNAJC7,-0.6774
PSMB5,0.0718
ZBTB2,-0.4572
CISD1,-0.0688
VPS39,-0.3872
SCRT1,-0.4210
PGAM1P4,-0.0688
GCSAM,-1.0268
NDUFS8,-0.5728
RARG,0.1733
CDCA2,-0.0688
F2,-0.5346
OR4C6,0.8828
RASSF1,-0.0688
SMTN,-0.8565
AHNAK2,-0.5731
MRPL40,-0.0688
MARK2,-0.2255
DGKZ,-0.8310
USP20,-0.0688
GRIK1-AS1,-0.0688
GOLGA8F,-1.0644
MXD4,-0.6790
SPATA32,-0.5216
APOL4,-0.3486
KRTAP4-8,0.2135
KCNIP1,-0.0762
BRIX1,-0.0688
RSPH10B,-0.4625
SLC5A10,-0.0688
ZMYND11,-0.8856
CIDECP,-0.0688
FTMT,-0.5355
ZMYM4,-0.0688
GPATCH8,-1.2595
TRIM49,-0.2296
GPR124,0.1421
MEIOB,-0.0688
PRKCH,-0.2389
MRFAP1L1,-0.0688
ZC3H15,-0.9753
PRM3,-1.3864
LINC00469,-0.0688
CLN8,-0.0688
NUDT4,-0.5726
CXorf38,-0.4679
BRAP,-0.0688
ARHGEF37,-0.0688
OR51N1P,-0.0688
PHF19,-0.0688
SETD2,-0.0688
SLC36A4,0.5175
RP11-683L23.1,-0.3290
CALHM1,0.1289
C1QTNF8,-0.1885
C15orf54,-0.2011
CALR,-0.9482
ABHD17AP5,-0.0688
TRIM52,-0.0688
C2orf71,-0.0688
YBEY,-0.0688
ZNF410,-0.2243
LRRC48,-0.1460
CHDH,-0.2645
EPN2,-0.3032
ZBTB7C,-0.1000
TBC1D15,-0.4093
OR7E125P,-0.0688
LYPD6,0.3000
DIRAS1,-0.1375
AC079753.4,-0.0688
ZNF354C,-0.8217
AGPAT1,-0.0688
PTH1R,-0.0688
SH3PXD2B,-0.7077
IL3RA,-0.1354
CSTF3,-0.4422
KLHL3,-0.0370
NLRP9,-0.0356
TMEM255A,0.3148
RP11-106A1.2,-0.0688
DLGAP1-AS1,-0.0688
CAAP1,-0.5694
SEC62,-1.0234
NFYC,-0.4192
FZR1,-0.0688
IPO11,-0.1235
ST8SIA5,0.0370
FAM170B,-0.7894
GEN1,-0.0688
TIGD5,-0.4023
GOLGA8G,-1.0650
MRGPRF,0.6058
RP11-402J6.3,-0.0688
ZC3HC1,-0.4505
KPNA2,-1.2520
GINS3,-0.0688
ZNF92,-0.0688
GPR62,0.5133
HNRNPF,-0.0688
C13orf45,-0.0525
PMS2P5,-0.0688
MSL2,-0.1745
CRADD,-0.5177
PHKG2,-0.2713
ZBTB16,-0.0304
TMEM179B,1.0431
CTHRC1,-0.3013
CIDEA,-0.0688
RP11-11L12.2,-0.0688
GDNF,0.1197
DBX2,-0.4171
LARP4B,-0.7038
PAK4,-0.8934
FKBP10,-0.1517
F11R,-0.0824
XPOT,-0.2533
C17orf77,0.3132
KIAA1958,-0.5195
GAS7,-1.0113
HYAL3,-0.4652
SLC34A1,0.2815
NFKBIB,-0.5094
PPP2R5E,-0.2667
UNC5B,-0.1648
CNPY1,-0.8630
LEPREL1,-0.0688
AMER3,-0.6600
SSX6,-0.0688
SLC12A1,-0.4165
LRRC34,-0.2286
FAM170A,-1.0185
TTC18,-0.0688
PLCD3,-0.6944
CABYR,-1.0326
ADAM17,-0.5400
TMEM155,0.4814
OLFML3,-0.0688
C1S,-0.4108
ANKFN1,-0.7757
RBMY1HP,-0.0688
GPR142,-0.8053
ZNF706,-1.2952
GLIPR1L1,-0.0921
RTN4RL1,-0.2934
STX16,-0.5104
TNPO1,-0.0062
PIGA,0.0576
LINC00982,-0.0688
CDC25C,-0.5416
PHLDA2,-0.6474
OR10H5,0.8613
PTPN20B,-0.1914
ANO2,-0.0241
AC006001.1,-0.0688
PIBF1,-0.0688
C2CD4C,-0.5045
POLR2J4,-0.0688
LPCAT4,0.0262
C17orf58,-0.4598
SPPL2C,0.1988
FIGLA,-0.5845
CHST6,-0.0015
RPRM,0.4422
CHST5,0.0263
OLIG2,-0.3839
C17orf47,-0.7807
VWC2L,-0.0688
DNAH8,-0.2556
CPNE8,-0.0688
CXCR2,0.6772
ARMCX2,-0.0688
PPP1R27,-0.0688
THAP4,-0.6712
CCDC107,-0.0513
MIER3,-0.0688
ASCL3,-0.6448
ZMIZ1,-0.0688
ZNF576,-0.0688
PACRG,0.5556
MFSD2B,-0.0688
DDX24,-0.6435
RECQL,-0.5835
NCKAP5,-0.0688
ADCK5,-0.0172
GCK,-0.0688
METTL7A,0.2844
RNF144A,-0.0688
TEX38,-0.4072
METTL4,-0.5262
C2orf82,-0.0688
ABHD14B,-0.0688
SLA,-0.5625
DMTF1,-0.6871
DHRSX,-0.7810
CLCF1,-0.2540
MSRA,-0.5728
P4HB,-0.3066
ING3,-0.0688
HSPB7,-0.6926
CTD-3232M19.2,-0.0688
KRTAP15-1,-0.3102
TMCC2,-0.6146
AL121657.4,-0.0688
MPPED1,-0.3613
NBPF14,-1.0323
PNRC1,-0.9697
RAB43,-0.2310
PGA5,-0.0688
SIGIRR,-0.2265
SHOX,-0.6421
CEP192,-0.5742
WDR81,-0.6265
CFHR1,-0.0688
MTMR10,-0.6640
PITPNB,-0.0688
CYLD,0.2738
TMPRSS11A,-0.2112
SEL1L,-0.0688
ACTG1,-0.2285
ATAD3B,-0.0688
OR4S2,0.6807
CIRBP,-0.4157
MS4A4A,0.4833
OR6C76,0.6045
CLN3,-0.2337
KRTAP6-2,-0.3323
PEX26,-0.0233
EDDM3A,-0.2340
C10orf76,-0.0688
KLK10,-0.1259
ATF7IP2,-0.7784
HOXD8,-1.0124
AP3S2,0.0429
CTD-2144E22.5,-0.4665
FGFR1,-0.5317
AVPR2,0.2296
TNNI1,-0.6343
CSRP2,-0.4840
CTD-2201E18.3,-0.0688
SLC16A8,-0.0688
C12orf66,-0.2401
ZDHHC24,0.5861
GLIS3,-0.6549
RHOJ,-0.1764
PCBP4,-0.0616
KIAA0825,-0.0688
GPR137,0.6209
OR5J1P,-0.0688
SRRM3,-0.0688
EID2B,-0.0688
PPA2,-0.8529
MYPOP,-0.6769
AP000487.4,-0.0688
DNAJB5,-0.8665
AGBL4,-0.0688
SSNA1,-0.0688
RP11-89N17.1,-0.2071
VANGL1,-0.0688
ATP5C1,-0.1512
GGA2,-0.2094
SOCS7,-0.4986
OR10D3,0.7958
FAM87B,-0.0688
TSFM,-0.2847
TOB2,-0.2475
FAM220A,0.7147
SLBP,-1.2468
FOXL1,-0.2272
VPS37A,-0.5647
OSBPL9,1.1878
RABGAP1,-0.4793
SNTB2,-0.5437
FAM86EP,-0.0688
FAM21C,-0.8790
CDYL,-0.0688
ANKRD23,-0.0688
OR3A4P,-0.0688
EBAG9,-0.2449
C3orf22,-0.8353
IP6K1,-0.0688
ZNF821,-0.8489
ZNF619,-0.7332
COPG2,0.4588
DDX28,-0.1228
AKAP5,-0.8686
ZFP42,-0.6829
DDX51,-0.3449
SLC12A8,0.1787
AP1S1,-0.4268
TCP11X1,-0.0688
RPS12P23,-0.0688
TRIM73,-0.0688
ANO9,-0.0688
UBE2G2,0.1396
ZNF7,-0.8229
BEX5,-0.0688
CCDC60,-0.9098
GPR141,-0.0688
KPNA7,-0.0264
PTPN2,-0.5518
SESTD1,-0.0688
C1orf213,0.9273
ZNF677,-0.3028
GAL3ST3,-0.0688
GEMIN8,-0.0688
USP39,-1.0448
CMTM7,0.7465
BSG,-0.1851
KCTD12,-0.5375
C16orf52,-0.0688
EEF2,-0.5798
PVRL3,-0.3037
PARPBP,-0.2087
SMAD3,-0.5060
LIN9,-0.5879
ZNF575,-1.1465
CHRNA3,-0.0688
IGDCC3,-0.0834
ACOT1,-0.2187
SPECC1L,-0.8331
ATP6V0A4,-0.0688
KLK2,-0.1366
OR51T1,0.7605
TXNRD2,-0.1289
CHP1,-0.8856
HBB,-0.0688
TMEM89,-0.0415
OR4C46,0.7913
SLC51B,-0.2766
CCR4,0.5369
TMEM68,0.1103
PCP4,-0.0688
MRPL1,-0.4917
RBBP7,-0.3703
COL20A1,-0.0688
GBAP1,-0.0688
RESP18,-0.0688
LSP1,-0.6244
DPM2,-0.0688
DENND5A,-0.0397
TRABD2A,-0.0688
IGSF22,-0.4597
WSCD1,-0.0115
MRPS24,-0.0688
AKAP14,-0.0688
KPNA4,0.0118
HEY1,-0.1327
OR10G7,0.6678
OR1L1,0.4536
NBPF12,-0.9582
SLC25A5,-0.0688
RP1-232L22__B.1,-0.0688
WASH3P,-0.0688
NEUROG2,-0.4618
ARHGAP12,-0.0688
TRAM1L1,0.1702
CD34,-0.3736
HIST1H2BC,-0.7381
OR5P2,0.7606
CARF,-0.5044
LRFN4,-0.0688
CDC42BPA,-0.6161
PODXL,-0.4338
ZBTB12P1,-0.0688
EIF4A2,-0.0468
APOLD1,-0.0688
OR51G2,0.8446
C16orf54,-0.4089
IGIP,0.1094
SLC8A1,0.0313
ZCCHC12,-0.5557
DRAP1,-1.3453
KRT3,-0.3889
PNKP,-0.3431
ANAPC10,-0.7532
HCAR2,0.3620
RAB8B,0.4745
UBA6,-0.5625
C12orf68,-0.3954
ZFP1,-1.6143
LLGL1,-0.0688
NPY2R,0.3491
PLB1,-0.3444
TMPRSS9,-0.0688
CCDC14,-0.7177
FBXL7,-0.1487
MARCKSL1,-1.1585
REC8,-0.0784
KRT25,-0.5191
RPA2,-0.2665
TRDMT1,0.0285
SLC44A2,-1.5095
TDP1,-1.2939
PLAC8L1,-0.0453
COPB2,0.0156
BLOC1S4,-0.3590
STARD10,-0.5710
EXOSC3,-0.0688
GLS,-0.0688
CECR5-AS1,-0.0688
ZNF738,-0.3760
KDM3A,-0.4907
OR52E4,0.8837
ADORA2A-AS1,-0.0688
OR2T12,0.4413
ZNF703,-0.3286
LYPLA1,0.0233
OR2T10,0.6295
CRIP2,-0.7680
UBE2N,-0.2333
AURKA,-0.7698
RSRC2,-2.6280
DNAJA1,-0.6758
GRIN2A,-0.3835
TSTD1,-0.5758
OLFML1,-0.0618
C11orf71,-0.3667
SNX22,-0.7792
TLN1,-0.2403
CLU,-0.6125
FBXO21,-0.0688
CC2D1A,-0.5582
HOXC5,-0.8928
TMEM9B,0.0045
PDE1A,-0.2587
KRT7,-0.0688
ACSM2B,0.0430
CADM1,-0.4747
OR2AP1,0.7155
OR2A4,0.7861
SIMC1,-0.0688
FGG,-0.0688
SLC22A16,-0.1683
KANK4,-0.5811
VSIG10,0.1016
UBXN2A,-0.6592
SOCS3,0.0437
CATSPER2,-0.9192
OR2M1P,-0.0688
PDZD8,-0.0688
GRTP1,-0.0688
DCAF4L1,-0.0455
TIGD3,-0.2556
MYT1,-0.8926
PTPRCAP,-0.1364
DENND6A,0.0641
TLR10,-0.3681
ZNF559,-0.7395
GCC2,-0.7714
PIANP,-0.4378
SLIT3,-0.2466
PDGFB,-0.5097
DNAH7,-0.0688
RANBP1,-0.0688
ZFP91,-1.0098
SPOCK2,-0.6184
PLEKHF2,-0.4369
PER1,-0.9857
CD300LB,-0.3672
CCDC71,-0.5615
CCZ1,-0.2245
RMI1,-0.4227
CSPG4,-0.1572
C15orf56,-0.3488
CCDC79,-0.2182
OR5AZ1P,-0.0688
GIMAP6,-1.1452
TACC3,-0.7900
SDCCAG3P2,-0.0688
TWF1,-0.5409
RP5-874C20.3,-0.0688
CDC42,-0.0688
GPR156,0.2628
B4GALT3,-0.0688
RGS3,-0.6230
CD37,0.9646
KLF7,-0.0688
ZNF749,-0.0688
NRIP1,-0.5318
LINS,0.2587
ZNF71,-0.8194
MAPK10,-0.4345
BRICD5,-0.0546
SHMT2,-0.0410
TESK1,-0.0688
KLK6,-0.1464
TFDP3,-0.5304
HNRNPCL1,-0.9577
NDUFV1,-0.0474
FOXG1,-0.7493
EDRF1,-0.1167
EFCAB12,-0.0688
PRAMENP,-0.0688
BTF3L4,-0.0688
B3GNT1,-0.2243
KCNH6,-0.2154
SPACA4,0.3048
SOWAHB,-0.6583
KRT80,-0.0688
AATK,-0.0595
STK33,-0.6397
KRTAP11-1,-0.0074
RBBP9,-0.0688
PTTG1IP,-0.0688
PHF7,-0.8403
CNIH2,1.0897
CYP8B1,-0.1661
SEPT10,-0.7615
ZNF660,-0.0688
LCE4A,-0.7162
NPAS2,-0.4925
HCCS,-0.7340
ADIPOQ,-0.4098
OTOS,0.0438
GREM2,-0.5083
WBSCR28,0.1633
GPM6B,0.7895
SEPT9,-0.6781
MC2R,0.5756
SGSH,0.3565
ZEB1,-0.7760
NXN,-0.2523
GRAMD1B,-0.7077
SYNE4,-0.6173
DTX3,-0.4098
NUDT18,-0.0524
RSF1,-1.2355
ZFYVE27,-0.2267
CASKIN2,-0.1622
MFSD7,0.4657
WHSC1,-0.4322
SLC6A10P,-0.0688
FUNDC2P2,-0.0688
CHD2,-0.5714
GPR89B,0.6296
NAGPA,-0.2903
PCGF6,-0.0688
ZNF775,-0.7867
SH3D21,-0.9566
HTR3D,0.1854
TMCC1,-1.4000
MRPL46,-0.0688
SFTPC,0.1333
FBXL13,-0.0688
SLC4A8,-0.1771
HLCS,-0.0688
RP11-7G23.8,-0.0688
ABHD12B,-0.0688
C6orf201,-1.0804
TPD52L3,-0.5568
CACNA1F,-0.9241
FBXO31,-0.2849
EZR,-0.0688
IFITM1,-0.0688
KCNK10,0.1624
TSPEAR,-0.0923
ABL1,-0.6453
OR51L1,0.8349
UQCRH,-0.0688
TAF7L,-0.9952
NAALAD2,-0.2776
HARBI1,-0.0279
ACBD4,-0.7868
C18orf56,-0.6959
MEX3B,-0.7475
HSD17B6,-0.0295
FGFBP3,-0.6760
NPTXR,-0.0872
OR9G3P,-0.0688
GJD3,0.1262
OR2T34,0.5767
TTLL9,-0.6287
AGAP3,-0.1531
KCNRG,-0.0699
PELI3,-0.3518
ZBTB21,-0.0688
ARHGEF4,-0.6007
MRP63,-0.7186
NPIPA1,-0.7696
COG4,0.0371
MCF2L2,0.1460
RP4-592A1.2,-0.0688
FAM110C,-0.0688
VNN2,-0.2386
OR1E1,0.7554
SPAG6,0.1465
PRAMEF20,0.0215
TTC8,-0.1360
SPTBN2,-0.6829
PDE12,-0.2913
HIST2H2AB,-0.4577
PRR23B,-0.2306
EIF3F,0.0739
C9orf106,-0.0688
OVOL1,-0.6522
MUCL1,-0.0688
C5orf38,-0.0733
LCE5A,-0.7068
MPRIP,-0.5783
TPT1P10,-0.0688
AF241726.2,-0.0688
RP11-266I3.7,-0.0688
GATA4,-0.7263
PIPOX,-0.2895
TMEM216,-0.0688
RP11-556K13.1,-0.0688
APBA3,-0.0688
AC024940.1,-0.6270
CYFIP1,-0.8000
C20orf197,-0.4135
C1QTNF9,-0.6153
TBX18,-0.5754
RPS4X,-0.0688
CCDC101,-0.5056
MMP12,-0.3826
DRD5P2,-0.0688
LINC00324,-0.0688
HBG2,-0.1833
WT1,-0.8350
POLR3C,-0.0688
MARCH10,-0.3125
TRMT112,-0.1528
LRCH4,-0.1074
C1orf131,-0.0688
TOPAZ1,-0.5421
MARCH11,0.2472
DGAT2L6,0.1374
STAT2,-0.1908
CELF2,-1.0143
ARSI,-0.5131
OAZ1,-0.5526
OR2G3,0.6968
CIB1,-0.3178
GPR144,0.1685
PPM1N,-0.3008
C3orf17,-0.0474
CYP4A11,-0.0688
NOP10,-0.8472
RCAN1,-0.3215
DHX37,-0.8336
CNTD1,0.1073
ARHGAP10,-0.4095
C15orf41,-0.1438
OR6C70,0.8093
SYCN,-0.2201
B3GNT5,0.1700
OR1S1,0.7006
GEMIN4,0.0413
PCNXL4,0.2517
C15orf32,-0.4570
SPATA31E1,-0.7092
CD36,-0.0215
C10orf71,-0.0688
STARD7,-0.0688
CHRM2,-0.0688
CGGBP1,-0.0688
C21orf67,-0.4862
HTR3E,0.1202
HMGCS1,-0.1781
LINC00314,-0.0688
FOLR4,-0.2984
PAM16,-0.1155
ZBTB8A,-0.7807
FOXN3P1,-0.0688
OR11H4,0.8293
ODF3L1,-0.6245
DCUN1D4,0.1238
ZNF550,-0.0688
KREMEN1,-0.0688
TMEM95,0.0563
EYS,-0.1919
PKP3,-0.6421
RPL13,-0.8905
MYO1H,-0.0659
TMTC2,-0.0688
ZNF185,-0.7759
EIF4ENIF1,-0.4129
BAI1,-0.1972
GSX2,-0.0688
MUM1,-0.3574
SEPT7P9,-0.0688
HFE2,0.0815
PPARGC1B,-0.0688
TMEM167B,-0.0688
DDHD1,-0.7326
TMEM262,0.7425
GSTA1,-0.0688
CALCA,-0.4631
FAM89B,-0.4397
OR5AS1,0.8009
MROH1,0.0649
CCDC74B,-0.0688
PLAG1,-0.0688
INHBC,-0.0057
ORAI3,-0.5221
KIAA0195,0.1888
ZNF366,-0.7600
SIGLEC8,-0.0688
PDLIM1,-0.0688
RNF146,1.3357
RP11-1079K10.1,-0.0688
TLR1,0.3233
FAM178B,-0.2337
ULK1,-0.1668
CNN2P12,-0.0688
LYSMD3,-0.5646
PRPF31,-0.0688
VPS37D,-0.6295
OTOL1,-0.6411
SLC25A30,0.1038
GRPEL2,-0.4195
C8orf59,-0.0688
PTPRU,-0.3297
ENPP4,-0.1799
SLC25A22,0.0824
PAGR1,-1.2506
MKS1,-0.2701
KLK11,-0.0135
RTKN2,-0.2953
OR6T1,0.7746
TRAK1,-0.0688
SPEM1,-0.5990
IDSP1,-0.0688
GS1-594A7.5,-0.0688
MUC3A,-0.0688
DNAJB8,-0.6961
TUFM,-0.1366
COL9A1,-0.4354
OR5T1,0.7960
TMEM150B,0.6358
NFAM1,-0.1146
RP11-446E24.4,-0.0688
GATSL2,0.2079
CTSF,-0.3889
AC009041.1,-0.0688
GPRC6A,0.2948
GPR97,-0.3507
P2RY13,0.3506
ZSCAN22,-0.7387
ARL6IP6,-0.0688
C1QTNF1,-0.0688
TAF1D,-0.6976
KLHL15,-0.2725
TBL3,-0.0965
C3orf70,-0.5464
SSX5,-0.9766
KRTAP21-2,-0.2651
OR52N5,0.7963
C6orf203,-0.0688
SRSF7,-0.0688
ZNF599,0.1189
OR10AG1,0.9977
B3GALNT1,0.6074
KCNA2,-0.0688
OR4N5,0.9029
KCTD13,-0.1225
SULT1A2,-0.1661
PNMA1,-0.2935
ZMYM3,-0.0688
FAM138D,-0.0688
ZNF114,-1.0867
AP000679.2,-0.0261
DRD5P1,-0.0688
C1orf227,-0.7592
CMC1,-0.7972
FOXL2,-0.4449
RGS7BP,-0.0688
ELL3,-0.0688
ZBTB11,-0.0688
GRIK1-AS2,0.0675
ARHGAP8,-0.1941
TNRC6A,-0.5316
ASB7,-0.5302
MAGI1,-0.6602
DRG1,-0.3382
ZNF733P,-0.0688
U2AF2,-0.0688
LMNB2,-0.7870
SEZ6L2,-0.2937
PTPN13,0.0820
ITGA11,-0.0688
HMHA1,-0.6292
RP11-567M16.3,-0.0688
TRIM64,-0.0688
GARNL3,-0.5113
PCSK1,-0.0688
TMEM86B,-0.0688
TDRP,-0.0688
ACAD9,-0.5081
IQCF2,-0.0688
PLCD1,-0.5060
SH3TC2,0.0128
OR7D4,0.7574
COX14,-0.3316
RPAIN,-0.7066
IL21R,-0.0688
SOX11,-0.7016
PGAM5,-0.0688
NF2,-0.1552
PAPL,-0.6398
ADAMTSL5,-0.6299
MAMDC4,-0.0688
DYX1C1,-0.2918
CLTB,-0.5649
SH2D7,-0.7825
AMACR,-0.0688
CALCB,-0.3065
SNTG2,-0.0688
USP45,-0.2972
