Gene,n
ARHGEF35,485.0
ITGA2B,220.0
USP48,522.0
ROMO1,60.0
PYCRL,138.0
NUP62CL,185.0
ZFAT,1244.0
XKR8,396.0
HEYL,329.0
RP1-139D8.6,128.0
IFI44L,453.0
KANK4,996.0
ANKS6,873.0
ATRX,2493.0
PAGE1,147.0
UBAC1,406.0
ODF2L,645.0
BCAS1,507.0
SCP2,504.0
SLC25A25,504.0
NXPE2,366.0
AGER,233.0
SPANXN4,157.0
FAM27A,68.0
MYO3A,198.0
SNX15,343.0
HES3,187.0
TRIM39,489.0
CBWD3,161.0
AATK,880.0
ZNF658,1060.0
PABPC1L,150.0
KCNC3,729.0
PADI2,438.0
TPM2,323.0
C10orf111,156.0
RAB4B,122.0
MYOF,446.0
PIN4,107.0
NDUFAF5,268.0
CASP10,248.0
ATG4A,375.0
NFKBIL1,367.0
TCF7,370.0
ZNF462,1450.0
ZFAND4,654.0
CXorf30,919.0
ZNF593,135.0
MED18,209.0
RP11-302M6.4,53.0
SUV39H2,231.0
PADI4,664.0
OLAH,138.0
ATF6B,701.0
NMRK1,176.0
NFIA,381.0
PPP1R16B,526.0
RPF1,130.0
KCNK17,333.0
YIPF3,351.0
C10orf53,158.0
HMGCL,301.0
LRRC10B,293.0
KIF3A,703.0
PRKACB,265.0
KHDC3L,218.0
DR1,177.0
GLMN,595.0
TCTN3,444.0
CBWD7,253.0
CC2D2B,139.0
PGM1,581.0
HRH2,398.0
CLLU1OS,102.0
ANKRD26,1711.0
RABEPK,155.0
CACNB2,609.0
C10orf115,95.0
C10orf35,122.0
UPRT,282.0
LECT1,335.0
ZFAND3,206.0
CXorf38,156.0
TTPAL,155.0
TBX22,401.0
PAX5,363.0
KCNMA1,1183.0
LYPLA2,183.0
ELOVL5,290.0
CUL2,746.0
KRTAP9-2,175.0
ACOT7,330.0
CA6,314.0
APOC3,118.0
KAZN,166.0
SLC13A4,113.0
KRT40,432.0
OGDHL,1011.0
GBGT1,161.0
CD40LG,241.0
TTLL9,356.0
FGR,530.0
TBC1D13,401.0
TAP2,687.0
MAPKAP1,132.0
CSNK2B,235.0
CIZ1,843.0
CXCR3,369.0
SF3A3,502.0
COA7,232.0
PRAMEF19,411.0
TMEM2,177.0
CYP4A22,520.0
PRTFDC1,191.0
CDK20,244.0
OMD,422.0
VIPR2,423.0
MARK2,774.0
MCOLN3,554.0
IGFL2,120.0
ENTPD6,296.0
HS6ST2,606.0
PCCA,703.0
PHF1,458.0
HNRNPUL1,753.0
PRAF2,161.0
DPM1,296.0
C1orf122,48.0
AGER,295.0
GGACT,154.0
SVEP1,846.0
PTPRH,1116.0
XAGE1D,82.0
GPR110,911.0
ZNF75D,416.0
PTGDS,191.0
MAP1LC3A,126.0
RALGPS1,306.0
TAF2,1200.0
ABCF1,808.0
LHX6,364.0
PPCS,312.0
ACTL8,367.0
NXF2B,627.0
LRRC47,584.0
PTPRS,1950.0
RAE1,369.0
MUTYH,547.0
LMX1B,403.0
GNB1,341.0
EIF2B3,413.0
LINC00632,104.0
SUPT3H,329.0
CXorf40B,147.0
RBP4,202.0
TLE1,145.0
FOXO4,506.0
MAMDC2,687.0
FOXD4L4,417.0
MDC1,2090.0
SLC6A14,643.0
MOG,46.0
AK2,233.0
MYC,455.0
KIF20B,1821.0
DUSP15,233.0
TCEA3,155.0
FAM71F2,301.0
KCTD2,75.0
BAI2,1586.0
MBNL3,305.0
HIF3A,670.0
NPDC1,404.0
SAMD13,103.0
ACTN1,823.0
SPAG6,586.0
BRDT,875.0
SET,291.0
SLC35D2,164.0
PLEKHG5,853.0
AGO3,861.0
ARHGAP12,817.0
ARMCX1,454.0
KRTAP1-4,122.0
NSD1,65.0
FAM210B,193.0
DACH2,572.0
PIGK,320.0
KLHL21,598.0
ZNF311,667.0
WFDC3,138.0
NPY4R,376.0
NHSL2,710.0
SLC31A1,191.0
FARP1,1077.0
PIK3AP1,405.0
SYTL4,350.0
CHRDL1,459.0
DSN1,285.0
XYLT2,640.0
MTCH1,373.0
GRIN1,944.0
XRN2,951.0
PRR3,168.0
TRPM6,860.0
PUM1,1190.0
ZSCAN20,434.0
PPM1B,388.0
CBWD6,360.0
C10ORF68,633.0
GID4,310.0
PPAPDC3,152.0
RPS6KA1,725.0
IKZF3,423.0
DKK1,267.0
LRRC26,335.0
PCDHA7,790.0
RAP1GAP,749.0
ARHGAP27,549.0
BLOC1S2,143.0
SURF2,257.0
CHD5,809.0
CHD6,374.0
C1orf177,419.0
IER3,139.0
PLTP,494.0
ZRANB2,331.0
ATP11C,1129.0
ZDHHC16,378.0
GIGYF2,1322.0
CD300LG,274.0
SCP2,548.0
EPB41L1,199.0
ZNF451,560.0
C20orf26,189.0
TP73,451.0
MRPS16,100.0
CUL9,2490.0
ITGBL1,402.0
ACTRT1,377.0
SLC25A39,360.0
KIAA1958,739.0
POLR1E,482.0
AC006486.1,152.0
SP140,173.0
HPSE2,593.0
ZDBF2,2355.0
LRIT2,551.0
ARHGEF16,422.0
MRPL14,146.0
AXIN2,779.0
CNTRL,460.0
BMPR1A,533.0
GLE1,660.0
WDR78,546.0
SPIN4,232.0
FAM213B,214.0
TEX30,114.0
TAF1,459.0
TBRG1,261.0
PALM2,380.0
C1orf86,181.0
ARHGEF7,626.0
NSMF,146.0
FAM102A,385.0
TOE1,511.0
IL23R,357.0
GTF3C5,520.0
PCDH9,1238.0
PLEKHG5,1044.0
MLLT10,1028.0
ERLEC1,430.0
IL31,165.0
REEP2,255.0
RBM41,414.0
SPANXA1,98.0
XAGE1E,82.0
AF196779.12,293.0
SPATA21,201.0
ZNF691,307.0
C9orf47,184.0
LBX2,199.0
ENG,659.0
IKZF3,376.0
STK19,369.0
IER5L,405.0
NCR2,277.0
CDKAL1,489.0
METTL8,379.0
OR1L1,361.0
PLEKHG5,1084.0
CREM,270.0
KIAA0319L,487.0
GJB3,271.0
HFM1,1115.0
BCAS4,204.0
ERCC6L,1128.0
GDPD2,540.0
NEBL,237.0
GABRD,453.0
PAFAH2,393.0
C8B,592.0
TMEM59,146.0
ZNF549,641.0
DAB1,214.0
CDCP2,450.0
FAM149B1,470.0
PRAMEF18,480.0
SDC4,199.0
PCDH15,810.0
HLA-G,155.0
UGGT1,47.0
COX7A2,103.0
EPB41L1,773.0
PMPCA,147.0
SLFNL1,349.0
UQCC2,127.0
ASTN2,1063.0
PBX3,254.0
FBXO48,156.0
ALOX5,675.0
LYPD5,252.0
ZMYM3,350.0
C1orf195,127.0
PLXNA4,523.0
DOK3,229.0
CLIC4,254.0
UGCG,395.0
TFDP1,411.0
KIAA1462,1360.0
MALRD1,1487.0
AIF1L,143.0
PPP1R12C,720.0
KLHL31,635.0
DYDC1,178.0
GALNT10,277.0
TRAPPC3,119.0
NDC1,675.0
MAPKAP1,331.0
BAMBI,261.0
NEBL,1015.0
LY6G5B,202.0
BTNL2,456.0
SRPX2,466.0
ING1,423.0
CUTA,157.0
BORA,214.0
HES2,77.0
CSF3R,864.0
AGER,405.0
ARHGEF7,647.0
HDAC8,140.0
GPC5,573.0
RP11-114H20.1,124.0
HCRTR1,426.0
CNNM3,660.0
PRRC2B,269.0
SLC44A4,669.0
PFDN4,135.0
ESD,254.0
NAALAD2,306.0
DRAP1,213.0
UBR4,5160.0
FBP1,339.0
SLITRK2,846.0
CST9L,148.0
SEC31B,353.0
C10orf71,1436.0
GPR133,561.0
ALDH18A1,796.0
FAM122C,153.0
VSTM2L,205.0
DGAT2,346.0
SFTPA1,190.0
MRPL41,138.0
MAT1A,396.0
RASEF,741.0
USP9X,2555.0
TP53INP2,221.0
LENG8,838.0
UBAC2,310.0
MKNK1,466.0
ANXA7,467.0
SLC22A7,540.0
PLCB1,1174.0
SEPHS1,322.0
C5orf45,289.0
PACSIN1,403.0
TREM2,223.0
PSMA7,179.0
OBP2A,171.0
SGIP1,631.0
ABI1,452.0
SLC3A2,631.0
C1orf127,824.0
DDX39B,426.0
STX5,322.0
ZBP1,430.0
RNF5,181.0
PMPCA,526.0
CARD9,493.0
EIF6,246.0
PRUNE2,299.0
SECISBP2,855.0
OSBPL9,755.0
THBD,576.0
TRNAU1AP,288.0
MS4A13,113.0
PHF6,325.0
NRXN2,1643.0
PPIE,251.0
PLAU,396.0
GNG5,69.0
DUSP11,227.0
TP53RK,122.0
C4B,1745.0
PLCH2,1381.0
BFSP1,666.0
GLYATL3,289.0
ZNF185,690.0
PRKACB,258.0
MAGEE2,524.0
PLA2G2E,143.0
CAMKMT,324.0
TUBD1,352.0
RP11-65D24.2,66.0
TRO,1035.0
LY6G6D,134.0
SRSF10,263.0
LIPJ,367.0
CUL4A,760.0
SERBP1,388.0
HSD17B3,261.0
PPIH,58.0
SLC35F2,328.0
PSMD10,111.0
SEPT8,484.0
KDM4A,1065.0
MAPK8,385.0
WLS,451.0
GBP1,593.0
HNRNPR,637.0
ISCA1,130.0
POLH,714.0
NPLOC4,618.0
ZCCHC24,242.0
TMEM71,233.0
IGSF1,1328.0
TMEM254,104.0
BSND,321.0
CACNA1B,164.0
ZFC3H1,1990.0
PGAP3,270.0
SH3BGRL,115.0
NOX4,272.0
FAM129B,747.0
MED22,135.0
KCNB1,859.0
CERKL,464.0
OBSL1,1026.0
TRAPPC3,181.0
CLCNKB,688.0
TRPM6,1948.0
ZFYVE27,312.0
BEND6,280.0
ANKRD20A2,824.0
WDR44,825.0
VGLL1,259.0
MAPK8,385.0
TJP2,102.0
RABL6,315.0
POFUT1,389.0
RFK,156.0
GFI1B,285.0
TENM1,2726.0
FHL1,211.0
TP53TG5,291.0
EIF3I,326.0
SLC13A3,339.0
GATA1,414.0
ANKS6,585.0
RPN2,616.0
FGF14,253.0
UGGT2,1517.0
LCK,285.0
EYA3,574.0
KDM2B,1266.0
SLC15A4,113.0
CCDC136,435.0
MAPK13,356.0
TNNC2,161.0
POLR3F,317.0
CCBL2,168.0
IKZF2,53.0
GPN2,132.0
ARHGAP40,623.0
COL9A1,679.0
FAM203B,391.0
PABPC4,632.0
TMEM222,209.0
ABCA1,2262.0
ATAD3B,118.0
ARHGAP26,166.0
C9orf37,177.0
RASGEF1A,211.0
PRAMEF6,477.0
MAST2,787.0
SEPT8,370.0
EPHA8,496.0
NKAP,416.0
ASPDH,179.0
BTK,484.0
PKIG,65.0
FMR1,538.0
ITCH,863.0
ZNFX1,1919.0
MLLT6,326.0
LZTS2,670.0
GABBR1,579.0
NDUFB8,173.0
MYH14,2029.0
SNRPC,181.0
AGAP5,687.0
TJP2,1191.0
LAS1L,718.0
MSH5,835.0
MYOF,161.0
SLC1A7,561.0
TRIT1,442.0
PKN2,828.0
GPR180,441.0
WDR31,368.0
PCSK2,620.0
OLFM1,130.0
GPSM3,161.0
CAPZB,261.0
SLC22A6,564.0
SLC25A25,516.0
MCCD1,120.0
FAM122B,248.0
HTR7,433.0
PHACTR4,703.0
C6orf25,238.0
TRPM3,324.0
HOOK1,729.0
GARNL3,803.0
SERPING1,449.0
DAW1,370.0
HLA-A,366.0
LRRC40,603.0
IL13RA1,227.0
KTI12,355.0
PBDC1,233.0
ITM2B,267.0
LPIN3,852.0
FAM21C,1321.0
HMGN5,161.0
DNM1,865.0
HLA-DRA,230.0
TPP2,1263.0
HYI,230.0
ATPAF1,329.0
PHKA1,1182.0
GPR112,3081.0
DCT,520.0
COL11A2,1690.0
BRD2,802.0
FAM188A,151.0
ANKRD22,192.0
TMEM54,223.0
NFIA,488.0
GRM4,797.0
RP11-93B14.6,145.0
ARHGAP22,540.0
DNPEP,37.0
C20orf166,118.0
IMPDH1,531.0
UCK1,283.0
MIB2,978.0
APOM,189.0
CLCN6,954.0
RPL23,91.0
TIMM8A,98.0
MTO1,644.0
NCOA3,1416.0
RECK,972.0
TGOLN2,438.0
TEX30,187.0
MSANTD2,560.0
ANKRD1,320.0
KLF12,403.0
NUDT8,237.0
C20orf112,114.0
SH2D1A,129.0
MSH5,823.0
XAGE1B,82.0
MAP4K2,813.0
DNAH8,217.0
PCCA,682.0
ZBTB8OS,137.0
ELOVL1,280.0
SMARCE1,329.0
PYGM,755.0
USP11,49.0
TRMT10B,222.0
HIATL1,507.0
ABHD13,338.0
TNXB,4245.0
SALL4,277.0
ARGLU1,143.0
PAEP,170.0
MAGED4,740.0
TP73,566.0
ODF2,639.0
OR5L2,312.0
RCAN3,116.0
GNG10,69.0
PPT1,271.0
CD40LG,262.0
SLFNL1,360.0
TEX11,926.0
PTPN20B,421.0
POF1B,596.0
GTF3C5,511.0
ERLIN1,275.0
USP26,914.0
GDPD5,487.0
PHF1,568.0
DST,2650.0
KIAA1522,1047.0
FBXO11,94.0
OPN4,490.0
FOXP2,366.0
SPTAN1,2473.0
KIAA0319,1073.0
CEP104,926.0
BTNL9,537.0
THUMPD2,304.0
NUTM2B,563.0
ESD,283.0
CENPP,116.0
DNAJC16,596.0
MPL,636.0
CNNM1,608.0
STAMBPL1,437.0
LHX6,349.0
KCNG1,514.0
TLE4,705.0
ZMAT1,639.0
KLK6,121.0
MRPL43,185.0
ZC3H12A,600.0
VAV2,879.0
NMT2,499.0
TIMP1,262.0
SLC44A1,653.0
MCF2,926.0
ZNF618,955.0
BYSL,184.0
PTPRT,1432.0
KHDC1L,129.0
MTOR,755.0
STK19,365.0
DMD,238.0
C6orf100,63.0
SORBS1,812.0
ADPRHL2,364.0
SS18L1,400.0
ZBTB6,425.0
ASPN,381.0
UBE4B,1062.0
TMC4,713.0
FAM131C,281.0
C1orf222,93.0
TMEM50A,158.0
CTNNAL1,184.0
AL591684.1,162.0
COMMD6,40.0
ZNF684,93.0
GSTA3,173.0
ABHD16A,340.0
TTI1,1090.0
TIMM17B,173.0
GLIPR2,129.0
ITPR3,2672.0
FRAT1,280.0
VSTM1,206.0
SUSD1,748.0
UQCC1,188.0
CT45A5,190.0
ANXA8L2,328.0
IFNLR1,492.0
ALG6,508.0
TTYH1,461.0
FAM69A,429.0
ARHGAP29,394.0
ADO,271.0
YTHDF1,53.0
MRPL43,165.0
NKAIN4,168.0
CD164L2,174.0
SSX4B,189.0
MOCS1,386.0
KDM5C,1558.0
RPA2,271.0
YIPF1,124.0
GRIPAP1,626.0
FAM65B,592.0
CCDC18,1509.0
GRIN1,960.0
C9orf64,342.0
MAP7D1,809.0
HYI,214.0
MOG,253.0
TMCO3,415.0
CNTNAP3,746.0
COL6A5,558.0
RPS6KA1,644.0
LCK,137.0
EPB41L4B,519.0
ZFP64,680.0
RPL11,179.0
ZWINT,278.0
CTU2,429.0
RAP1GAP,695.0
EBPL,135.0
TMEM245,880.0
PRDM16,1277.0
DNAAF1,726.0
TAP2,654.0
SLC44A5,720.0
PLAC9,98.0
YIPF6,194.0
EYA3,417.0
CASP9,334.0
USP49,586.0
ACBD5,349.0
ABI1,447.0
CLDN10,227.0
STIL,1289.0
PCDH19,1149.0
MSANTD3,160.0
CXorf64,299.0
C20orf173,203.0
SZT2,179.0
BCL10,234.0
MED8,269.0
MCOLN3,322.0
F10,489.0
NKAIN1,208.0
TET1,2137.0
CARD16,198.0
TMCO4,595.0
SPAG6,271.0
TIMP1,144.0
PTPRT,1445.0
PCDH11X,1311.0
GABBR1,962.0
C9orf50,432.0
C6orf25,198.0
PCDH11X,1348.0
EPB41,589.0
SPANXA2,98.0
GSN,486.0
AGER,343.0
TNFRSF1B,462.0
MAGED2,522.0
ZMPSTE24,476.0
IKZF3,367.0
ZC4H2,225.0
NRG2,426.0
BICD2,825.0
GPR157,336.0
RBP4,200.0
DDB2,239.0
YIF1A,294.0
GSTA4,130.0
DYNLRB1,149.0
PTBP3,525.0
TMEM8B,473.0
MCTS1,183.0
ZNF425,753.0
NFYC,336.0
ACBD5,417.0
PPP1R8,210.0
SLC35A2,164.0
HFM1,1436.0
TMEM52,125.0
MRS2,409.0
CELA3B,164.0
MCF2L,1130.0
TNF,234.0
FNBP1L,601.0
CRB2,1286.0
NUP160,1437.0
SLC35D2,250.0
CIZ1,819.0
BMP8B,403.0
CCDC83,314.0
MRPS15,258.0
FAM107B,132.0
ZMYM3,498.0
CCL4L2,69.0
C9orf41,154.0
TMED5,163.0
DCLRE1C,346.0
SAMD13,93.0
AC017104.2,115.0
CSAG1,79.0
FABP3,134.0
SRPK1,656.0
C9orf41,197.0
BEND5,422.0
MAP7D3,802.0
TMEM63B,762.0
ACTRT2,378.0
KDELC1,503.0
TSPO2,71.0
CXCR3,416.0
ACTR2,400.0
PTCH2,1204.0
MB21D1,448.0
SLC36A3,512.0
ABHD17B,294.0
GNAS,1038.0
AUP1,411.0
SPI1,271.0
CBWD1,251.0
SLC6A9,580.0
SLC30A2,324.0
KIAA0368,130.0
PRR20A,222.0
EDEM2,579.0
BORA,490.0
GABRE,507.0
KRTAP9-1,101.0
SNRPC,119.0
C10orf2,583.0
BPIFA3,255.0
KLF9,245.0
GPR34,382.0
LGI1,558.0
ABL1,1150.0
ITGB3BP,217.0
PAK3,545.0
ING1,211.0
LYPLA2,165.0
IFIT5,483.0
GTSF1L,124.0
MAP3K8,133.0
C20orf144,154.0
C9orf117,127.0
DNAJC11,560.0
PODN,643.0
SLC15A1,709.0
PHYHD1,292.0
UTS2,140.0
REXO4,423.0
TEX13A,353.0
NFATC2,922.0
C20orf26,201.0
RPL35,97.0
CCHCR1,783.0
GNAS,88.0
ZZZ3,410.0
C11orf49,338.0
CHD6,2716.0
FAM209B,172.0
FAM122C,196.0
TACSTD2,324.0
DPRX,192.0
CD28,137.0
CUL2,91.0
ZNF81,103.0
MED12,2178.0
PTEN,404.0
MRRF,202.0
ANK3,195.0
TMEM136,246.0
VEGFA,328.0
SRM,303.0
GUCA2B,113.0
ATAT1,324.0
KCNAB2,416.0
GPR137,347.0
TDP2,363.0
TMCO2,183.0
ID1,156.0
AGAP6,664.0
GDA,394.0
RSPH9,277.0
IL13RA1,280.0
DFFB,339.0
CFP,416.0
HLA-DPA1,261.0
SLC9A6,702.0
UNC13B,1592.0
LY6G6D,174.0
ZCCHC6,396.0
CNNM1,831.0
P2RX7,276.0
NXT2,143.0
FRMPD2,1310.0
C9orf85,23.0
CXorf57,856.0
BPIFB4,615.0
FXN,211.0
VWA7,853.0
PBDC1,234.0
TMEM234,181.0
BTBD17,479.0
PYROXD1,56.0
IPPK,164.0
MUSK,870.0
MEN1,556.0
LST1,67.0
FAM189A2,238.0
XAGE1D,70.0
HSPA1B,642.0
FAM178A,1187.0
PRKACB,352.0
ENTPD1,523.0
SYP,41.0
SERBP1,409.0
SFTPD,376.0
SCRIB,1550.0
PDSS1,307.0
ENOX2,582.0
ATG4A,399.0
SH2D3C,704.0
PLP2,146.0
GRIA3,165.0
TMEM254,85.0
ST3GAL3,430.0
PGK1,418.0
KIF6,798.0
C20orf112,156.0
XAGE5,76.0
SOX21,277.0
IFIT2,473.0
TMEM254,124.0
KIAA1217,1944.0
GMNN,179.0
ELTD1,691.0
WBP5,105.0
TRAPPC3,135.0
NCOA3,1425.0
FOXS1,331.0
POMGNT1,661.0
TSPAN6,246.0
DBNDD2,113.0
INPP5B,750.0
AC115618.1,130.0
SLC35B4,332.0
MORN4,47.0
ZFPM2,883.0
NCR3,191.0
FUT11,493.0
NMS,154.0
TMEM69,248.0
THAP3,176.0
STK40,436.0
SEMG2,583.0
GDA,411.0
USP33,829.0
DFNB31,557.0
COMTD1,263.0
TOMM7,126.0
DFFB,81.0
ARMC3,610.0
MUSK,190.0
EDF1,140.0
PBX2,431.0
PLOD1,775.0
MTF2,537.0
METTL3,9.0
ACACB,2389.0
FAF1,651.0
PABPC1L2A,201.0
ARHGEF10L,1241.0
SARDH,369.0
CUTA,112.0
PRAMEF22,482.0
CAMK2N1,79.0
TMEM53,202.0
ITGBL1,495.0
FBXO6,294.0
ODF2L,592.0
SMIM13,92.0
PCDHA2,825.0
KCNT1,1236.0
THEMIS2,124.0
NRP1,705.0
PGM1,563.0
PSMD5,114.0
TTC39A,579.0
ALG8,468.0
NDUFB8,156.0
PHF20,1013.0
MACF1,4435.0
GRIN1,939.0
FAM127B,114.0
ABCA9,1436.0
MTCH1,390.0
DENND1A,560.0
NGEF,619.0
LRRC8C,804.0
HIVEP3,2406.0
SUCLA2,464.0
ZNF573,141.0
FAM69B,432.0
ZNF280C,738.0
HLA-C,367.0
ZNF33A,812.0
MSH5,852.0
PLXDC2,530.0
FIBCD1,462.0
FAM120C,1097.0
NRSN1,147.0
WDR31,243.0
SPANXN3,142.0
USP30,36.0
BEX1,126.0
TAF7L,463.0
YME1L1,684.0
SLC2A5,502.0
POMGNT1,749.0
FKBPL,350.0
BEND6,107.0
APEX2,519.0
NOX1,193.0
RAD54L,748.0
PDPN,237.0
ASXL1,82.0
FHAD1,252.0
DCDC2,230.0
EIF2S2,334.0
SNX21,365.0
C9orf156,296.0
PTP4A1,149.0
LGSN,510.0
PLCH2,1417.0
ITGB1,826.0
UIMC1,721.0
LST1,74.0
UGT1A6,266.0
NOC3L,801.0
CACNB2,568.0
ARHGAP22,590.0
HECTD2,208.0
SRSF10,173.0
SLC17A4,498.0
GPN2,311.0
MIB2,754.0
HPCAL4,192.0
AIF1L,98.0
COX15,389.0
NCS1,191.0
GADD45A,166.0
UTP14A,604.0
RING1,407.0
SRSF11,485.0
EHMT2,1234.0
LCN12,91.0
MAGED1,835.0
KIAA1217,1466.0
DLG3,818.0
RABL6,615.0
SLC2A8,215.0
RXRB,534.0
PRPS1,319.0
SVIL,1789.0
UGT1A5,535.0
CACNB2,607.0
GRIPAP1,811.0
DDX31,779.0
OXER1,424.0
GNG5P2,69.0
CH25H,273.0
MAGOH,110.0
EPB41L1,881.0
LPPR1,326.0
XPA,274.0
OGFR,626.0
RABL6,731.0
NRG3,500.0
BMP5,455.0
TM9SF2,664.0
MLLT10,127.0
SPATA6,473.0
TNMD,318.0
COL15A1,1389.0
ANKRD11,36.0
TBC1D8,1141.0
LMAN2L,360.0
TAPBP,449.0
CLPSL1,122.0
THNSL1,744.0
ZNF451,1062.0
TRDMT1,392.0
CENPP,289.0
TPM2,285.0
CTNNAL1,719.0
GRIK3,920.0
C9orf85,180.0
NAP1L3,507.0
PCDH9,1033.0
ELAVL4,372.0
HDAC8,248.0
AOX1,1339.0
NXNL2,136.0
FSD1L,312.0
SLC2A5,245.0
KCNK16,310.0
AL513478.1,140.0
SMAP2,430.0
MAPKAP1,236.0
NDUFAF5,346.0
KLF8,258.0
C9orf89,184.0
FAM27E2,126.0
MACF1,7389.0
DYDC2,192.0
CLDN10,74.0
CDCA7L,409.0
AIF1L,177.0
GMPPA,474.0
RPS8,189.0
HLA-DOA,86.0
CASK,927.0
UBE2D1,148.0
AKAP14,90.0
CTNNBL1,377.0
PRKG1,182.0
DYNLT3,153.0
LRRC18,262.0
UBR4,213.0
YRDC,280.0
NMRK1,204.0
WNK3,1744.0
LYZL2,195.0
DPM1,256.0
IGFBPL1,279.0
VSX1,366.0
TRIM63,354.0
TMEM39B,294.0
MCF2L,1183.0
DNAJB4,338.0
NEBL,232.0
PTPN20B,279.0
PSMA7,249.0
SCN9A,1990.0
TMEM2,1384.0
RCAN3,242.0
CLCNKB,518.0
CERKL,420.0
OOEP,150.0
SAMHD1,171.0
ATXN2,1314.0
ZNF367,351.0
OR1N2,331.0
KLHL4,719.0
C9orf153,102.0
STRADA,374.0
DNAJC16,783.0
DMRTC1,193.0
AGTR2,364.0
NELFE,388.0
ZMYM3,1373.0
CXorf36,183.0
SLC25A45,185.0
SRRM1,914.0
FOXD4L6,418.0
ZCCHC6,1260.0
GRXCR2,249.0
HECTD4,4247.0
SLC22A12,446.0
RSPO1,237.0
CENPP,103.0
CDC14B,499.0
ANXA6,331.0
CRTAC1,646.0
SSX4,154.0
MFAP2,183.0
CDSN,530.0
CHIC1,205.0
TMEM52,195.0
PRPS1,169.0
SORBS1,817.0
OTUD3,399.0
ID1,150.0
TMCO4,581.0
ALMS1,2562.0
CUBN,171.0
P2RY4,366.0
FAM27B,68.0
DIRAS2,200.0
LY6G6F,298.0
ARHGEF10L,1053.0
EIF4G3,505.0
TRIM40,259.0
BRD4,723.0
SRSF3,165.0
POU3F1,452.0
SARDH,919.0
DBNDD2,264.0
ADK,346.0
LEPROT,132.0
CXorf38,201.0
SYNC,477.0
ZNF638,815.0
PTPN1,436.0
GBGT1,73.0
COL11A2,1651.0
AVPI1,148.0
HDAC8,157.0
PRTFDC1,174.0
MLLT10,1012.0
EDA,392.0
FPGT,608.0
LRP4,1906.0
ZMYND12,366.0
LUZP4,79.0
PRICKLE3,174.0
XAGE1C,70.0
C1orf158,157.0
EXOSC1,166.0
CNTNAP4,1260.0
PRICKLE3,616.0
TMTC4,742.0
KCNMA1,1206.0
GDPD4,624.0
EPHB2,947.0
KIF2C,726.0
CROCC,2018.0
CA6,249.0
CSAG1,74.0
KLF5,458.0
KCNIP1,226.0
DENND1A,467.0
MAMSTR,248.0
SLC29A3,476.0
PHF2,328.0
CWF19L1,254.0
CNTNAP3,1208.0
AAED1,227.0
UBR4,5177.0
CYSLTR1,338.0
CDC16,527.0
AGO1,858.0
PSAT1,371.0
IKZF2,501.0
RPS6KA1,736.0
CLN5,408.0
NXF5,369.0
IRF3,301.0
AGTRAP,153.0
MOCS1,534.0
RAPGEF1,1096.0
TMEM225,226.0
GNAS,1024.0
PCDH15,55.0
TP53RK,254.0
PREPL,666.0
L3MBTL1,773.0
HM13,336.0
TMEM57,665.0
LPHN2,1385.0
PLA2G2D,146.0
PABPC1L,135.0
PCDH17,1160.0
SLC38A5,422.0
PRKG1,687.0
TMED5,230.0
ZNF684,379.0
BTBD8,306.0
MEIG1,89.0
RHBDL2,384.0
RP11-830F9.6,414.0
ADIRF,77.0
SPIRE2,715.0
RBPJL,472.0
DNASE2B,154.0
MBNL3,355.0
TOX2,465.0
ST3GAL3,187.0
TTC22,373.0
SKIV2L,1247.0
SLC2A8,412.0
KIAA2013,668.0
OR5C1,321.0
ZDHHC15,338.0
PODXL,559.0
DAB1,556.0
ZNF503,647.0
MSRB2,183.0
SIK3,599.0
ZBTB26,442.0
EVI5,811.0
NSUN6,470.0
TLE4,411.0
SCP2,323.0
NCOA4,576.0
CCDC160,326.0
MORN5,162.0
SARDH,284.0
ZMYND8,1137.0
RRAGB,347.0
ADCY8,1121.0
ZNF831,1678.0
MKX,353.0
SGIP1,829.0
MIER1,487.0
SHB,298.0
LTB,245.0
SLC25A25,502.0
ABI1,483.0
OCRL,902.0
SHB,510.0
LST1,52.0
NSMF,195.0
PHACTR4,713.0
ZNF485,351.0
C6orf25,242.0
MOB3C,240.0
TLE4,806.0
FGD2,103.0
RNLS,316.0
UGT1A4,535.0
ZNF182,621.0
ZFP64,427.0
ZNF189,613.0
ABCC10,1493.0
C6orf57,109.0
KCNAB2,174.0
ZNF510,134.0
AKAP14,198.0
TMEM254,145.0
ENTPD6,485.0
UCHL3,231.0
RIBC1,380.0
COL9A1,329.0
LLGL2,357.0
SLC1A7,159.0
PADI1,664.0
AKNA,385.0
SSX1,189.0
TAPBP,467.0
MYOF,2052.0
SDHB,281.0
HMGCL,326.0
HDAC8,287.0
PHF19,581.0
GALE,349.0
TMEM2,1321.0
HERC4,1050.0
ARHGEF7,722.0
LST1,105.0
PPP1R3F,454.0
IFIT1,479.0
POFUT1,195.0
AGER,436.0
MAN1C1,402.0
APCDD1L,502.0
BAG2,212.0
DNTT,510.0
RSPH9,307.0
IFI44,445.0
EYS,3166.0
YME1L1,717.0
RAB41,223.0
CBWD5,59.0
ATAT1,422.0
ARID1A,1903.0
LAMA5,501.0
DBNDD2,260.0
GCNT1,429.0
ANKRD26,1268.0
EPS15,897.0
CACHD1,1275.0
UGGT2,279.0
SPIN2B,158.0
NRSN1,173.0
C9orf96,214.0
MMP9,708.0
WDR46,611.0
RAB3B,220.0
FIBCD1,304.0
CCNI2,370.0
