Gene,Theoretical Peptide Count
ADAMTS17,219
TAOK2,255
SCAF4,206
DUSP15,55
LEPREL2,1
MTMR12,143
CTDP1,194
MFSD6,109
DCP1B,109
BSN,668
ZNF592,235
TAAR1,58
PTCHD2,58
CCDC7,144
EPG5,414
JAKMIP1,209
RFTN2,100
TMEM174,15
NANP,56
TOMM70A,149
SEC11A,48
RALB,66
AFAP1L1,193
C21orf59,81
MMAA,99
FAM195A,32
PDZD9,44
CLVS2,68
UBE3B,155
C19orf52,60
RPP30,61
DIDO1,132
TWF2,87
MCCC1,168
PHLDB3,164
DUSP16,28
TREX1,43
TMEM218,11
C5orf63,25
T,67
PLCH2,242
TMEM223,39
TFF2,20
CPAMD8,100
GSTT2B,48
UBR3,329
PDS5A,314
MURC,117
OR9K2,43
MYEOV2,61
ETHE1,47
WIF1,69
CDT1,139
ZFYVE28,160
CCDC8,145
RFX2,108
NINL,304
PSD2,166
PLIN2,86
CCDC116,139
BIRC5,46
PLS3,129
PPP1R18,147
VEGFC,86
CACNA2D2,193
C8orf37,57
ARPC2,76
AGXT,70
TRIM42,159
FAM96A,35
PF4,19
TMEM87B,101
SIRPB1,72
CISD2,39
CD300LF,43
RAB34,64
CHP2,51
TRMT61A,35
MTTP,198
B4GALT6,80
PPP6R3,131
TRPM2,296
REXO2,63
TPST1,96
PLBD2,92
FRMPD3,372
PPP1R3A,15
ARHGEF40,269
ZNF286B,20
PPP1R21,184
ACOX1,132
RBM47,110
CD1A,46
C7orf60,89
TCF23,61
MRPL13,44
KIAA0895,150
CCNL1,155
PDE9A,136
SPINK7,14
WDR52,118
HOMER2,108
C21orf58,54
PNOC,44
HOXC10,85
DPH3,1
GFOD2,70
NBN,172
ORAOV1,33
TMEM135,104
VWDE,255
BIN2,121
C19orf55,41
NUDT9,90
GFRA3,62
DNAJC5B,40
C4orf36,35
ALKBH3,75
RTN1,116
DUSP11,92
CR1L,72
GABARAPL1,32
NICN1,39
PML,177
MYH15,504
DLG4,148
BOP1,150
PCDHGC3,148
ARHGEF28,338
PPARG,106
ZNF155,138
OR1F1,31
EIF5A2,30
CST5,27
OSR1,67
EYA1,75
E4F1,138
NOVA1,49
GFI1,90
LIX1,59
DAGLB,104
RAB3C,53
RPL7L1,91
RELL2,57
SUN3,81
PROK1,30
FLAD1,23
DDX12P,1
NUF2,136
TNFRSF11B,100
PREX2,372
BEAN1,15
MPZL2,47
TMEM41B,57
CHTF8,61
PLK4,201
VASH2,1
HINT1,25
PLCZ1,147
OR6Y1,33
RASA4B,178
FAM57A,44
RPAP1,210
COX6C,27
MARCH4,70
OR9I1,51
VAT1L,86
PDHB,64
TIGD4,123
ST3GAL5,32
HSD11B1L,48
DGKQ,183
NDUFB10,55
CRH,38
ACP1,40
ZSWIM2,168
WDR48,156
DHX57,324
PANX3,75
GRIP2,1
CCDC63,182
SETD9,69
SMEK2,158
OR1L6,47
SPSB3,80
UBE2L6,31
MCHR2,57
CIB3,37
CRABP1,34
DOCK5,419
SLC12A9,66
PRSS23,90
CD53,27
EIF3H,81
TEX12,29
TEX13B,55
ANKRD40,66
WIPF1,84
ZNF396,79
FAHD2B,59
GAL,26
GC,106
CCDC138,174
CADPS,282
SLC6A1,73
LRRTM2,96
ASRGL1,66
FERMT3,146
ZSCAN23,81
MRPS28,52
PRDX5,46
MR1,49
SLIT1,240
KIFC2,60
RALGAPA1,371
EMC4,31
ZWILCH,109
TMEM237,44
ACER1,35
USP42,283
NCEH1,78
PITX1,58
MEGF6,178
POLR2G,31
UBE2Q1,82
C18orf54,98
METTL3,115
ERBB2,196
RBM23,1
MST1R,192
NGFRAP1,25
LRTOMT,65
CYB5D2,59
FUT6,71
SMIM14,9
HNRNPLL,42
ZNF83,111
FASN,402
NAAA,73
MGAT5,156
ANKRD18B,298
PTPDC1,167
TTYH2,62
USP15,199
ARMC12,77
YAP1,67
SH3GL1,90
FBXW11,121
SPRR1A,19
RAD51,69
MAP1B,470
EMCN,29
GLYATL1,72
CDC123,70
ANK1,349
LPHN2,241
CEBPB,68
VAPB,1
PHOX2A,55
DIDO1,496
ATG10,35
NINJ2,36
SLC2A4RG,70
GTF2A1,13
SPINT4,31
MEAF6,54
WDR19,229
LRRC2,92
ALDH16A1,127
PHIP,421
YIPF5,13
MYL3,49
CC2D1B,190
ACE,119
GMCL1,101
NEXN,75
CNOT11,83
ZNF256,140
ABCA12,449
FBXO4,66
AMN1,47
MFAP4,43
SCAMP2,34
MPHOSPH9,229
PMS2P4,1
KCNMA1,200
OR1K1,30
CD8A,34
TMEM169,47
CDH13,129
MARVELD1,29
KIAA1328,139
PKNOX2,56
SHROOM3,396
C21orf33,55
C9orf3,81
LARP6,122
NIPBL,650
FAM46D,75
PRSS27,49
ADAR,289
MMP26,31
RAPGEF6,344
SPON2,55
BMP1,211
IFI16,193
ZNF473,206
SMG8,203
FSTL1,74
SOGA2,225
PRR14,132
RPL13AP5,1
NAT2,52
TRPV3,156
GLYATL2,65
C20orf196,37
B3GAT3,69
ELOVL6,48
AC027612.6,1
RNASE6,28
XIRP2,875
PTPRR,128
TMOD4,72
NRTN,57
CAPN1,167
SLFN11,199
C2ORF15,28
KLHL26,111
CSRNP1,88
LTBP4,245
NDUFAF2,56
RTKN,119
SLU7,163
IQCC,128
SLN,5
EIF2A,119
ZNF672,126
DOK2,80
RGPD3,401
CMBL,56
THAP9,205
CEP89,221
GHDC,99
CAPN9,149
FAM84B,58
PPAP2A,50
SLC16A13,34
PPM1K,77
MBNL1,54
DGKI,221
MRS2,34
PTDSS2,82
ASZ1,106
TMEFF2,62
KRTAP1-1,9
SPINT2,61
FCRLA,33
OTOA,190
CRK,57
FBXO25,88
RPL21,67
TRMT61B,99
AC007364.1,1
CYB5R2,54
PACSIN3,114
TAL1,67
MGMT,45
SVEP1,198
CCNDBP1,62
KRBOX4,44
FCGR3B,37
MYEF2,144
MTERFD1,99
NXPH2,58
CFL1,49
CCDC36,127
NEK10,84
MFSD8,64
LSM12,47
HECTD2,160
RETNLB,14
RP11-443P15.2,1
CXCL13,34
FEV,40
MAGEA8,58
QKI,65
ZBTB7B,82
FAM90A1,100
RHPN1,136
LPCAT1,104
CENPN,83
SPTSSA,7
NETO1,114
OR4X2,32
TMBIM4,43
NKRF,174
FBXO4,62
CHFR,128
PSG9,43
PTX4,100
KCNAB1,97
ATP1A3,184
CBR4,56
SDE2,121
C12orf50,95
TNFSF12-TNFSF13,72
ANKRD33,73
GRID2,176
CCRN4L,82
FADD,52
MYO1A,270
DUS1L,118
RWDD2B,1
TEKT5,119
MAPRE2,65
MARCH9,77
ATP5L,23
ASGR1,52
R3HCC1,58
RHEBL1,38
NPIPA7,1
CBX2,55
DOCK1,445
DEGS2,59
TYSND1,77
ALOX15,136
SVOPL,55
SLC6A3,79
CBX8,107
GPR26,67
NDST2,149
TIGD7,163
SLC46A3,52
KRT86,114
ARF1,41
XPO6,194
LIPA,36
SYNPO2,248
SLC35G3,31
CIB4,33
SLC25A32,66
CLASP2,220
FAM198B,119
SPATA24,66
R3HCC1L,163
ASPSCR1,139
DERL3,1
ELMSAN1,202
KCNK13,76
C1QTNF7,54
C21orf91,64
RFC4,90
GRM5,217
DMPK,109
PACRGL,56
NLGN4X,115
PIEZO2,490
ABHD10,66
TIAM2,150
F2RL1,63
FAM103A1,31
AHI1,266
FOXA3,46
CXCL16,41
BBS5,70
MS4A8,7
MRPL55,48
PLCB4,286
PLCB3,267
VWA8,230
TMEM44,80
ALDH4A1,113
OR1E3,1
CXCL11,36
BCL2A1,38
DPCR1,43
UQCRC2,82
TKTL2,105
SCAMP3,47
MYOZ2,63
SDPR,104
PAQR3,23
ARHGAP17,145
ZNF534,42
PIK3C2A,352
ZNF562,90
METTL21EP,1
CD200R1,37
ZNF584,108
MLST8,47
CCDC39,228
FEM1B,127
SLC35E4,41
TRIM23,114
INSR,268
SKP2,78
TRIM17,110
PRB3,13
CDS1,83
GATAD1,60
IL8,30
ANKRD27,214
ANKHD1,381
FNBP1L,166
BTBD10,113
RP11-544M22.13,3
ZNF582,119
TAC3,29
SPACA5,29
ERP27,41
C1orf115,45
LRR1,101
HK1,211
COPRS,21
CTNND2,218
TGIF2LX,62
GABRB2,114
MT1A,17
GAA,117
EIF4A3,101
BUB1B,213
BTBD11,195
BPIFC,69
WDR92,81
RP11-220D10.1,1
C2orf62,71
PELO,91
HNMT,62
INTS4L1,1
UBXN8,1
FAM115D,1
ANKRD2,88
PXN,93
TUBA1A,76
LARS2,195
UBXN1,87
ESAM,57
ERGIC3,76
GOLT1A,21
U2AF1,68
CERS3,76
AFG3L2,197
CHSY3,186
NEMF,271
SMYD4,163
MMP16,118
ERBB3,237
RAG1,271
RPUSD4,96
SPOCK1,98
FOXI1,40
CHST9,121
NDST3,181
OR10J6P,1
RNF181,31
B3GALT1,71
BMP1,169
LRRC45,188
LYZL4,35
LCMT2,111
ZIC3,77
OSBPL11,145
TET3,101
SLC51A,57
DMD,161
TMEM74,57
PROCA1,95
RPN1,130
MYCN,88
PPP1R35,62
SCARF2,186
CD3G,9
CCL5,20
NME5,41
CAMKV,106
POLR1D,34
CCDC12,69
DMRTC1,21
CD320,37
PROK2,36
SEPT12,79
ACSM3,137
CATSPER3,70
ZNF563,120
IL22RA1,82
HSFY2,75
COG1,194
SORBS2,254
BICD1,252
PLG,1
ZNF19,92
SLC7A3,71
DTWD2,56
FNIP1,220
C11orf57,100
CFDP1,85
IRS1,213
ABCC8,274
FGF13,44
MAEA,106
COPS3,71
NCOA1,204
TRIM6,110
BRD3,167
CHD1,460
TMEM126A,38
GLP2R,17
ENGASE,35
ARHGEF25,119
DUS4L,70
OR1N1,37
USP3,113
TMBIM6,30
SCN2B,46
SHH,104
KCNK9,73
MUC7,46
LSM3,25
GTF2IRD1,204
ADAM22,186
UQCRFS1,53
CGB5,29
C14orf93,118
C2orf81,110
CRB3,21
ZNF467,115
HES4,52
VPS37C,53
LEF1,71
SERPINB8,49
HOXC9,60
MCAT,79
CGN,357
PTPN9,125
IL9,31
AKR1B1,63
HNRNPR,156
CAPRIN2,207
ADRB2,65
CLDN10,36
PTH2,28
MESDC1,71
UNC80,602
PGM5P2,1
TMEM65,43
C2orf68,44
ZNF711,178
TACR1,55
SPIN2B,65
JADE2,176
SPATA5,182
EXOC6B,192
ABCF2,154
MUC12,19
EPB41L4A,1
GPR115,135
GPR17,65
ROPN1L,59
CNIH3,23
MN1,141
MYLK4,98
ALDH1L1,181
SH3D19,158
GREM1,51
TRIP11,487
ZNF597,84
PPEF2,181
GNRH1,21
DPYD,40
OTOF,437
ESR2,92
USP43,220
ZEB2,246
HERC6,60
BAG4,56
GPRC5B,56
INSM2,124
DMP1,74
PGAP2,43
FGF11,59
ZNF646,356
CD2BP2,69
RNF150,69
LALBA,29
TRIM7,125
RAB6B,52
CSPG4P1Y,1
PCDP1,47
KIAA1143,49
ATP5J,34
PCDHB1,137
ASPSCR1,116
RBMX2,126
CHCHD7,35
GLRA3,106
PDE6D,41
RIOK2,139
PRDX3,43
ZNF333,146
PPM1D,136
TFCP2,79
LRWD1,120
SOX13,1
C16orf87,64
CLEC4D,47
PRKAR2A,91
FLYWCH2,33
KRT72,127
FBXW7,128
QTRTD1,86
ATP6V0D2,67
GLB1,106
ZNF215,138
SETBP1,356
NLRC5,283
TMEM143,100
MAGEA9,45
PCBD1,25
CPSF2,166
CBLN3,29
ESPNP,1
BRSK2,161
C2orf54,57
TTLL5,262
SEC23A,137
HK2,210
TTLL8,189
GAS8,162
ZNF714,11
L3MBTL4,154
WDR93,133
MORN4,36
NCSTN,114
PIGQ,23
HMCN1,903
SNF8,60
SOGA2,460
HTR5A,59
ANXA5,77
PRKCI,123
TCTN3,81
GS1-257G1.1,1
KIR3DL3,56
TPP1,64
ACAD8,82
CDK2,67
PRICKLE2,177
TUBGCP5,204
UBE2Q2,76
NONO,123
HIST1H3G,54
CENPV,74
CACNB2,167
COPS6,54
PEX10,86
CAMK2G,108
UBASH3B,114
ZNF778,157
NCOA5,153
C2orf61,34
ACE,211
A1CF,126
ILK,105
RIMKLB,1
CYP2C18,105
SUOX,94
SEPT3,79
HEXIM2,75
LRRC14,86
CPNE2,96
SSMEM1,57
IFNAR1,106
ERI2,68
CPA3,115
RPS23,58
C1QL3,39
OLFM1,43
LSM14B,100
CLEC1B,57
SLC39A4,59
RAPH1,142
OR7G3,36
KCNMB1,40
RPL4,160
RP11-474D1.3,1
MSANTD4,99
BNIPL,59
PRUNE,54
KRT74,130
ZCCHC14,127
ZNF701,144
GNAS,105
SLC39A14,51
MYH10,559
GPR101,86
IQGAP1,380
FOXN4,58
CSDC2,31
VNN3,21
POLG,255
SLC29A4,72
COL6A5,540
ATP1B3,55
GDF9,95
HPGD,31
PHLDA1,90
ZDHHC3,52
PAK1,106
USP25,229
ACMSD,59
TXNDC16,149
OTUD7A,208
TMEM199,56
KLK8,42
CRTC2,15
TTYH1,44
CDH16,105
G6PC3,34
JPH3,1
HNRNPH3,67
VKORC1,27
SKA1,75
HNRNPDL,108
C2orf27B,23
PRL,47
CHST14,92
SLC38A4,73
BACH1,149
PPP1R12B,1
IWS1,185
OR2C1,43
ZNF250,108
FDXR,100
SMIM4,11
GMEB2,82
SLC7A7,56
SIRPG,67
HAPLN1,77
PAGE5,23
COG5,158
C1orf216,40
BAZ2B,72
SUPT3H,73
RABL3,53
HSD3BP1,1
ANKRD53,66
TAF6L,130
SNX29,99
NFRKB,234
SHANK2-AS3,1
AXIN2,189
ISCA2,25
BATF2,41
ETFDH,107
MGAT4B,130
MAN2B2,145
CDK6,75
ARHGAP6,159
CPLX1,44
TNFRSF10B,89
RAB3IL1,86
DTX2,78
DDX54,246
GLRA1,97
PRKAR2B,87
BCAM,108
ABCA2,397
RNF149,75
OR8U1,37
AHSG,56
TTTY7,1
NECAB2,82
ZNF471,144
PIP5K1B,110
ZNF804A,253
CCNB3,307
ORMDL3,23
ZNF551,145
ZNF2,107
PTH,36
CSTB,21
ANKRD7,69
ARG1,1
MRC2,228
C10ORF68,186
RASSF5,64
ZC3H14,129
LARP4,124
ADAMTSL4,175
COL3A1,220
FNDC1,376
SERPINB12,88
ACSF2,128
PGAM2,67
IHH,86
SCAP,196
EGLN2,79
OTX1,52
PDZRN4,179
OGFR,126
SLC47A1,68
WIBG,1
RSPH1,63
UCN,34
PSMA8,73
PPM1E,134
COMMD10,45
TIA1,62
FAM207A,76
RGPD8,413
TPRA1,52
PIF1,145
MED9,31
POGLUT1,96
TMEM132B,169
ABCB8,145
S1PR1,79
CCR1,60
CRYZL1,64
ARMC5,148
SCN3B,35
MIS18A,57
ZNF556,150
TRAPPC10,216
KCNJ4,73
HERC4,173
ACPT,70
MIA2,101
CLEC18A,85
AC018755.1,50
CGNL1,344
PIGF,26
TRIM9,146
FOXP4,89
C1orf35,90
RFX5,152
ATP5G3,19
EPN3,113
MYL6,29
CPNE7,130
STOM,67
OSGIN2,102
CXCL3,27
NTAN1,62
ACAT1,88
RAD54L2,221
AC005255.6,1
AC010132.11,1
TCP10L,62
SLC6A5,29
NABP1,9
FRMD1,132
TSNARE1,119
GFRA2,13
NDUFA9,94
DCHS1,403
DOCK11,454
TM4SF19,25
OLFML2A,99
MAX,36
RAB28,47
FBXO27,62
INHBE,62
MRPL17,54
CETN3,54
HRASLS5,53
KLF11,91
RICTOR,365
RGSL1,263
NPC1L1,166
DEPDC4,20
TMCO4,94
TMEM190,32
USP6NL,202
HSPB3,35
APBB2,145
COX7B2,17
FAM105A,100
MARCH6,115
TIMP4,42
SLC44A3,89
TSEN34,63
PSPH,54
RNPS1,111
P2RY1,64
OTUD6B,88
SLC28A1,92
TNRC6B,145
ZNF443,176
MERTK,151
FCER1G,15
CDK14,99
RHOB,49
HIST1H2AA,45
CYP2A6,117
ZC3H8,93
PAQR6,37
PAH,88
RBMY1F,146
LRRC8E,161
SPAG11B,29
OSMR,149
KCTD20,21
RASA1,201
DMRT2,126
PIGF,29
SIK1,124
PATL1,147
PDGFC,9
IFI27,13
UTF1,71
ZNF667-AS1,1
PMEPA1,42
BMPER,142
WFDC13,19
DIAPH3,274
CCNA2,80
TK2,85
NCKIPSD,124
TMED10,56
MCM3AP,360
COL22A1,291
MEP1B,118
GSDMC,95
LRSAM1,162
OR10G3,39
CACNA1D,400
KLRF1,53
FAM102A,1
OR5A2,41
TBRG1,55
FRS2,106
BAP1,144
FNDC7,93
DRD3,48
OR2AG1,39
SBSPON,49
ZNF561,127
LEPRE1,140
KNDC1,326
XPC,257
XRCC4,83
RP1-137F1.3,1
CAMTA1,291
UBE2E1,45
IFNA1,39
GUCY1A2,153
CD44,42
ACSL6,134
ASAP2,211
ZNF689,127
UBE2F,48
SF3B3,211
PLIN1,100
FANCI,257
IARS2,213
HES6,46
MFSD3,45
RQCD1,60
PIGT,99
SEC22C,30
MRPL16,76
ANTXR1,112
UBXN1,78
OR1L3,54
SIX2,66
ACAA1,61
CSN3,21
NFS1,29
TXNDC2,110
RHBDL2,56
PCDHAC2,157
ZKSCAN7,158
OXSM,80
ADAMTS16,253
SETD5,263
LRRC56,108
ABCG8,117
MTM1,1
ANKRD52,159
ZMYND15,132
SECTM1,33
RNF44,55
AC004878.3,1
NMNAT2,53
TMC4,121
ASCC2,152
MOAP1,78
CRYL1,62
DIP2B,275
GPR176,84
PKN3,203
HEATR3,112
PRR15L,33
VBP1,56
FCRL4,91
PDLIM2,142
C18orf25,75
RGS20,76
TSPY8,60
SIGLEC7,67
OR5I1,44
DISC1,106
PLEKHH3,150
GABARAP,34
MTA2,165
RPSA,52
HPGDS,39
HMBS,78
RP11-217O12.1,1
HMGCLL1,50
NRG1,139
HOOK3,187
LINC00266-1,1
PIGG,54
AKTIP,68
RASSF6,92
TINAGL1,81
CXCR1,57
GLOD5,45
C8orf58,83
DCN,31
PSMB6,35
TMX2,66
CAPN10,29
CCDC78,100
ZFAND2B,53
PNKD,96
BAALC,39
RPL13P5,1
NEIL2,65
CDKN2AIP,33
GUCY1A3,140
FAM151A,83
PKD1L1,456
ITGB5,147
NHLH1,34
MMS22L,227
MRPS5,126
GJA5,67
RAB19,50
ZCCHC6,200
SNAPC4,304
TBL2,114
GNGT2,27
LCA5L,214
COL1A2,219
GLB1L,115
DGKE,125
STRA8,59
ZNF138,102
GEM,84
DLEC1,290
GTF2H2,77
SRD5A1,47
SUCLG2,92
HSF2BP,78
FBXO36,52
SCG2,138
MYRFL,42
CCDC126,33
NPNT,96
FAM177A1,38
PLA2G4D,148
C2orf44,113
NME6,1
DPH7,74
RPS4Y2,85
SLCO2B1,102
CLCC1,90
ITGB1,155
AMBRA1,210
PDE11A,191
KHDRBS1,1
GZMA,61
DTNB,127
HSPA4L,198
WASF1,32
TRIM5,105
PAM,183
TRMT10B,80
TOB1,57
RPIA,64
CACNA2D4,1
KCNC2,122
KCNE4,28
HIST1H2BO,46
ELF2,116
RABGEF1,139
NBEAL2,388
AQP7,43
RP11-386I14.2,1
AMICA1,77
HIPK4,125
CLEC3A,58
CLDND2,17
RBMY1A1,153
TERT,206
KCNT2,227
RGS12,141
SMCO2,66
HTR6,57
DPY19L2,52
CLDN17,42
TNIK,312
IGHV1OR21-1,17
KCNAB3,81
TXNL4B,37
RBPMS2,35
KIF5B,265
LUC7L,139
NRXN2,106
ARHGEF28,348
CANT1,80
FBXO3,97
IGLON5,57
PAMR1,148
EXOSC10,202
MIR31HG,1
ALDH1A1,105
LUM,65
UBXN6,116
NPFF,17
KIAA1191,72
TP53I13,75
RUNX1T1,128
GIMAP1,80
MCM7,174
CACNB3,110
SEPSECS,94
FAM194B,155
CELSR2,419
IPCEF1,97
SFT2D2,31
FZD7,91
RCAN2,51
GFM2,159
CSF1R,145
PRSS53,47
ELK4,73
FIP1L1,112
BMP3,114
CCNB2,96
SLC27A4,143
WNT1,92
RANBP3L,116
CCBL1,72
ZMAT2,79
HIF3A,109
POLR2M,102
C1orf158,47
SHROOM4,283
FAM71A,139
VAMP7,50
SCRG1,17
STK36,180
HDC,140
SSX2B,1
ADRA1B,94
RNPEPL1,75
KIFC2,155
SUV420H1,250
OR6Q1,37
GEMIN7,25
ANKRD30BL,55
SAE1,83
NXPE3,110
DNAAF2,161
C16orf46,93
CCT2,121
ACTR1B,87
ZNF544,146
DESI2,27
DNALI1,79
ADH4,73
RAB41,50
PTPRE,142
ARID5B,263
IL17RD,138
CD300LG,43
CCDC171,338
PHTF2,153
SLC16A11,40
COMMD7,38
HBD,34
MAL2,9
MAP1LC3B,37
FEM1C,131
PIGS,98
EN1,69
SCLT1,208
AKR1E2,67
ABI3BP,204
HIST1H1E,86
DTNA,136
SNRNP25,32
FAU,9
CELA3A,39
GLOD4,72
HPS3,198
CRYAA,38
PRKCA,35
ZNF653,115
MAPKAPK2,81
C6orf195,21
PROP1,48
TPTE,130
HOMER1,56
GMEB1,80
TRIM66,187
IL13,23
EXO5,70
LYZL6,21
TLN2,480
MASP1,117
CLDN19,23
NR2F6,77
ZNF211,126
PIP,33
PA2G4,95
PTGES2,47
SLC12A6,187
OR10K1,41
A2ML1,211
RNMTL1,106
TTC14,227
METTL21A,42
WNT7A,90
CSNK1D,32
ETNPPL,116
TATDN1,74
CLPB,183
AIG1,33
AASDHPPT,75
CDH8,125
ABCB9,116
ZBTB39,123
PCF11,363
USH2A,716
ASB16,91
SON,324
TGFA,20
USP49,167
SERPINA4,80
SPACA3,38
OR4D5,39
PGRMC2,50
NTSR2,65
KCTD5,57
WHAMM,203
CCDC67,171
RPS6KA4,134
CASP10,114
ZNF280D,211
FAM35A,167
MAP4K2,152
SLCO1C1,118
UBXN4,127
FAM71B,147
IGSF10,488
PRYP4,1
ARMC6,87
CYCS,36
ANKRD10,48
IGF1R,267
C1orf27,92
CAND2,206
STK32A,1
ADAM28,161
PIP4K2B,103
PANK1,116
C1orf123,35
ALKBH4,69
TM4SF4,19
ANLN,264
RHOA,1
USP24,497
NTRK2,140
CCNO,64
SPOPL,102
SPATA5L1,157
UBASH3A,122
SCUBE1,54
MAPK7,106
B3GNT7,83
RPS6KA2,174
SMARCA5,294
UHRF1BP1L,283
IGF1,58
CXADR,71
ARRB2,96
PCYOX1L,74
SLC37A2,45
RASA2,194
USP6,210
CLPX,152
SUCLG2P2,1
GRIK5,165
TRIM65,96
ASB17,72
AGPAT3,79
ZFP28,227
AC002543.2,1
NCF1C,1
FADS3,69
RXFP1,117
STAP1,71
JMJD6,82
PGM3,88
OR2Y1,43
SLC38A6,52
ELAC1,72
CLCA3P,1
WDFY3,623
BCKDHA,94
RPGRIP1,131
SRCRB4D,86
NXF1,156
HSP90B1,210
KSR1,184
IRX1,65
FAM160A2,174
CYP2A7,100
PHF12,127
MED27,70
SCARA3,108
UBR1,323
POLR3K,28
TDG,94
ATP8B4,227
PAM,166
TMPRSS11D,70
RP11-15G8.1,1
AMT,73
MED11,31
ATP6V1G2,37
IKBIP,89
DOCK11,456
IDI2,60
SYNPR,35
C1RL,77
TMPO,157
SLC9A4,136
FBRS,81
WDR24,143
WDR66,221
SIGLEC12,88
AC016716.1,1
TRPM2,287
SPATA2L,72
ACSM1,127
TTC36,46
S100B,19
FABP1,34
RPS3,73
UNKL,66
PIEZO1,425
XRCC6BP1,56
PISD,83
DHX36,233
COX7A1,23
GALNT1,129
OR5F1,40
SCAPER,1
VSNL1,51
EPB42,139
PPP1R3A,216
ZIC1,69
TMC7,137
LMAN2,72
CLDN12,34
TBCEL,24
NETO2,111
C1GALT1C1,66
MYRF,162
WDR61,48
CYB5B,29
PPP1R1C,30
NDUFA7,33
IDE,219
CCDC91,117
AVPR1A,84
CPA6,111
MZB1,36
RHOC,52
MAT2B,62
FSTL4,139
PIP5KL1,51
ORC5,94
TCIRG1,131
DOCK6,416
CCDC110,224
FCGR2A,41
CABS1,56
RPL29,76
SSTR1,57
SDR9C7,82
LSM11,116
PEX11A,63
PIGT,84
UBXN7,94
LY6D,21
RP11-12A20.2,1
H2AFY,102
ZFHX3,595
MYRF,162
OR2M4,40
LINC00671,1
CTDSP1,53
LRP5,272
CCR5,59
RFT1,81
DCTN5,39
CHAF1A,232
AKAP8,147
LAMP3,55
PPIC,43
HNRNPU,196
INHBB,81
C16orf45,68
SLC6A18,35
HHIP,158
ANKRD44,167
HPRT1,55
NLRP14,223
SSX7,60
CAGE1,181
PYURF,32
CDC40,131
TTC9C,20
INCENP,248
AP1AR,72
RNGTT,148
PDCD4,107
OR8J1,37
SEL1L2,153
DNAJB7,67
UBALD1,11
CDKAL1,129
ADAMTS15,203
PPM1B,97
MDP1,39
RHCG,51
FEZ2,50
NOTCH1,285
NPM2,52
MSS51,66
RP11-14N7.2,1
CRTC3,79
MMGT1,29
ZNF626,13
KIAA1109,265
LSM6,22
ALG10,78
GJA1,79
SLC23A3,43
LRRFIP1,162
CGB1,32
ATP13A4,102
C14orf2,17
GEMIN6,33
EAF2,58
WDR62,237
FAM19A4,36
DYNLRB1,9
YEATS2,254
PTCHD2,196
CFC1B,45
DBF4,166
OTOGL,118
MCC,196
TIMD4,65
IGFBP6,47
EMB,58
FRRS1,93
RNF219,166
OTP,58
GOLGA6L9,102
PRODH2,104
TMEM134,32
TSPAN33,41
PDGFD,93
ENC1,113
ISY1,98
ARHGAP25,165
STEAP2,91
TICRR,437
TRIAP1,1
SPRTN,108
JUNB,69
RUFY2,58
ZFYVE9,214
ZNF25,134
LIMD1,108
ADAMTS18,236
HSD17B7P2,1
FNIP1,223
LRRTM1,81
REL,108
RBM48,91
PPFIBP2,201
PLEKHG6,76
GPS1,115
HN1,7
STARD9,848
ELF4,103
U2AF1L4,39
NMRAL1,71
PECR,62
VPS33A,132
CCDC146,306
CALM3,27
PTCRA,33
ZNF267,180
KCNK3,74
CES3,82
OR52A5,43
MRPL49,47
SPINK1,17
HMCN2,46
ZSCAN2,1
TLE4,135
TUBA3FP,1
GNB2,64
SSRP1,199
CUX1,177
TJP2,256
DONSON,113
TRAPPC1,36
ARNTL2,135
FAM219A,32
ATP5H,44
KLK7,9
ASB6,77
EME2,92
STX3,74
NGLY1,153
ATG3,59
KAAG1,19
IQSEC1,218
ADCY1,207
WNT9A,101
GPR110,99
HAS3,102
CIDEC,54
KPTN,66
CYP2U1,101
TTTY8B,1
ZFYVE16,248
LEO1,138
CCDC66,249
ALDOA,71
NOG,51
GLI2,144
KCTD1,58
ZNF568,142
CTBP2,86
SOHLH2,46
CSF3R,92
VEGFB,31
PLK5,42
PRDX2,30
RNF151,65
RAB28,41
BID,59
ROGDI,53
GCAT,87
MCAT,29
MET,244
VTCN1,18
ASB18,86
FUNDC2P3,1
MAPK15,105
TARSL2,183
SNED1,237
TAS1R1,117
JMJD1C,228
CECR6,77
RGPD6,212
ATP4B,52
PROSC,58
LPAL2,1
ATF4,70
ZP3,57
ST6GALNAC4,61
MBD3L3,62
PRKCD,171
OR7A17,31
GPR173,67
RASSF4,74
MYOM3,266
RP11-111G23.1,1
ZNF570,122
GZF1,177
RFNG,67
SEPHS1,65
KRBA2,108
GBA,88
PAK2,107
HOPX,19
SFXN4,60
GAS6,128
AC073416.1,1
RSRC1,101
SELE,79
DNAJB2,75
USP16,202
NPB,28
RABL6,151
CHMP6,56
OGFOD1,3
CASK,195
HHIPL1,155
ZNF639,93
CREM,58
HLA-DRB1,52
VEGFA,63
IQSEC3,214
C1QTNF6,49
AMOTL1,208
TSPO,21
TMEM173,65
EYA2,83
P2RX7,91
SMARCD2,117
RP11-31H5.1,1
A3GALT2,58
CYP11B2,108
CLIP4,149
VWCE,120
PRMT3,104
DCTPP1,35
DTWD1,23
RTN4RL2,66
PLEKHH1,291
C11orf16,89
FARP1,232
LRFN2,132
SERPINF2,71
KIAA0368,370
SYT9,110
OR52W1,31
FOXE3,51
BVES,77
